id_station,lon,lat
station_1,25,-18
station_2,21,-18.5
station_3,21.5,-18.5
station_4,22,-18.5
station_5,22.5,-18.5
station_6,23,-18.5
station_7,23.5,-18.5
station_8,24,-18.5
station_9,24.5,-18.5
station_10,25,-18.5
station_11,25.5,-18.5
station_12,21,-19
station_13,21.5,-19
station_14,22,-19
station_15,22.5,-19
station_16,23,-19
station_17,23.5,-19
station_18,24,-19
station_19,24.5,-19
station_20,25,-19
station_21,25.5,-19
station_22,21,-19.5
station_23,21.5,-19.5
station_24,22,-19.5
station_25,22.5,-19.5
station_26,23,-19.5
station_27,23.5,-19.5
station_28,24,-19.5
station_29,24.5,-19.5
station_30,25,-19.5
station_31,25.5,-19.5
station_32,26,-19.5
station_33,21,-20
station_34,21.5,-20
station_35,22,-20
station_36,22.5,-20
station_37,23,-20
station_38,23.5,-20
station_39,24,-20
station_40,24.5,-20
station_41,25,-20
station_42,25.5,-20
station_43,26,-20
station_44,26.5,-20
station_45,21,-20.5
station_46,21.5,-20.5
station_47,22,-20.5
station_48,22.5,-20.5
station_49,23,-20.5
station_50,23.5,-20.5
station_51,24,-20.5
station_52,24.5,-20.5
station_53,25,-20.5
station_54,25.5,-20.5
station_55,26,-20.5
station_56,26.5,-20.5
station_57,27,-20.5
station_58,27.5,-20.5
station_59,21,-21
station_60,21.5,-21
station_61,22,-21
station_62,22.5,-21
station_63,23,-21
station_64,23.5,-21
station_65,24,-21
station_66,24.5,-21
station_67,25,-21
station_68,25.5,-21
station_69,26,-21
station_70,26.5,-21
station_71,27,-21
station_72,27.5,-21
station_73,21,-21.5
station_74,21.5,-21.5
station_75,22,-21.5
station_76,22.5,-21.5
station_77,23,-21.5
station_78,23.5,-21.5
station_79,24,-21.5
station_80,24.5,-21.5
station_81,25,-21.5
station_82,25.5,-21.5
station_83,26,-21.5
station_84,26.5,-21.5
station_85,27,-21.5
station_86,27.5,-21.5
station_87,21.5,-22
station_88,22,-22
station_89,22.5,-22
station_90,23,-22
station_91,23.5,-22
station_92,24,-22
station_93,24.5,-22
station_94,25,-22
station_95,25.5,-22
station_96,26,-22
station_97,26.5,-22
station_98,27,-22
station_99,27.5,-22
station_100,28,-22
station_101,28.5,-22
station_102,29,-22
station_103,20,-22.5
station_104,20.5,-22.5
station_105,21,-22.5
station_106,21.5,-22.5
station_107,22,-22.5
station_108,22.5,-22.5
station_109,23,-22.5
station_110,23.5,-22.5
station_111,24,-22.5
station_112,24.5,-22.5
station_113,25,-22.5
station_114,25.5,-22.5
station_115,26,-22.5
station_116,26.5,-22.5
station_117,27,-22.5
station_118,27.5,-22.5
station_119,28,-22.5
station_120,28.5,-22.5
station_121,20,-23
station_122,20.5,-23
station_123,21,-23
station_124,21.5,-23
station_125,22,-23
station_126,22.5,-23
station_127,23,-23
station_128,23.5,-23
station_129,24,-23
station_130,24.5,-23
station_131,25,-23
station_132,25.5,-23
station_133,26,-23
station_134,26.5,-23
station_135,27,-23
station_136,27.5,-23
station_137,20,-23.5
station_138,20.5,-23.5
station_139,21,-23.5
station_140,21.5,-23.5
station_141,22,-23.5
station_142,22.5,-23.5
station_143,23,-23.5
station_144,23.5,-23.5
station_145,24,-23.5
station_146,24.5,-23.5
station_147,25,-23.5
station_148,25.5,-23.5
station_149,26,-23.5
station_150,26.5,-23.5
station_151,27,-23.5
station_152,20,-24
station_153,20.5,-24
station_154,21,-24
station_155,21.5,-24
station_156,22,-24
station_157,22.5,-24
station_158,23,-24
station_159,23.5,-24
station_160,24,-24
station_161,24.5,-24
station_162,25,-24
station_163,25.5,-24
station_164,26,-24
station_165,26.5,-24
station_166,20,-24.5
station_167,20.5,-24.5
station_168,21,-24.5
station_169,21.5,-24.5
station_170,22,-24.5
station_171,22.5,-24.5
station_172,23,-24.5
station_173,23.5,-24.5
station_174,24,-24.5
station_175,24.5,-24.5
station_176,25,-24.5
station_177,25.5,-24.5
station_178,26,-24.5
station_179,26.5,-24.5
station_180,20.5,-25
station_181,21,-25
station_182,21.5,-25
station_183,22,-25
station_184,22.5,-25
station_185,23,-25
station_186,23.5,-25
station_187,24,-25
station_188,24.5,-25
station_189,25,-25
station_190,25.5,-25
station_191,21,-25.5
station_192,21.5,-25.5
station_193,22,-25.5
station_194,22.5,-25.5
station_195,24,-25.5
station_196,24.5,-25.5
station_197,25,-25.5
station_198,25.5,-25.5
station_199,21,-26
station_200,21.5,-26
station_201,22,-26
station_202,22.5,-26
station_203,21,-26.5
station_204,21.5,-26.5
station_205,22,-26.5
