"id_station","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"station_1",1970,23.2,7,9.8,17,0.7,35.1,37,183.4,4.3,1.4,0.257984347175807,2.2
"station_1",1971,3,0.6,3.2,1.9,8.7,1.5,6.6,147.4,2.4,0.3,12.3,26.8
"station_1",1972,2.3,23.6,1.9,35.5,3.1,32.5,16.3,5.5,31.1,13.4,2.1,6.3
"station_1",1973,40.7,0.954365310724825,0.235392943955958,1.5,6,1.7,9.2,8.2,2.9,1,0.864755554357544,2.2
"station_1",1974,0.6,4.3,122.4,2.8,53.4,1.8,10,7.9,7.2,1.9,0.147464698413387,0.321154926903546
"station_1",1975,6.9,3.2,30.5,114,1.7,4.8,13,19.3,14.9,0.5,0.546382329426706,2.6
"station_1",1976,1.3,6.9,10.8,13.2,15.7,0.8,7.5,10.2,3.6,1.1,17.3,4.7
"station_1",1977,12.4,7.2,6.2,11.1,6.8,2.9,10.9,55.4,3,21.7,4.5,0.7
"station_1",1978,6.5,46.1,3.9,3,8.6,1.7,39.3,7.5,1.1,2.7,0.4,22.5
"station_1",1979,11.7,7.2,8.7,1.9,3.9,2.4,7.2,28.3,3.2,3.7,0.1,2.4
"station_1",1980,1.6,2.8,2.4,4.6,1.5,2.6,10.4,17.4,8.9,5.7,1.8,0.1
"station_1",1981,0.9,2.8,75.4,11.9,4.7,0.3,42.9,13.8,3.2,0.5,0.3,2.5
"station_1",1982,8.2,41,153.5,30.1,6.3,0.5,3.2,14.3,3,33.5,86.5,20.9
"station_1",1983,7.8,63.3,42.1,28.6,38.8,0.9,5.9,18.6,3.5,6.2,2.5,0.3
"station_1",1984,0.4,0.8,4.3,1.3,31.5,0.7,3.8,1.8,4.3,0.247735440498218,0.5,1.2
"station_1",1985,4.3,1.1,2.6,46.3,9.2,1.4,8.2,14.7,41.6,0.1,0.571299406001344,3.9
"station_1",1986,0.949162995209917,10.6,65.2,183.9,13,1.1,7.4,17.9,4.1,0.4,1.9,8.4
"station_1",1987,0.2,4.5,68.9,27,22,2.6,6.6,10.2,3.5,0.2,4.3,0.343859590124339
"station_1",1988,1.6,3,0.4,12.8,0.5,0.8,42.5,22.1,32.4,0.9,0.239440292818472,11.2
"station_1",1989,9.9,60.4,33,189.6,1.3,1.4,6.9,34.9,65.3,11.2,4.7,17.8
"station_1",1990,10.9,33.8,21.1,63,0.5,1.1,27.9,20.4,4.1,0.1,0.567974107339978,0.684117132797837
"station_1",1991,0.6,36.6,38.5,2.2,9.5,2.7,15.3,13.4,7.2,1.5,17.2,4.7
"station_1",1992,27.2,9.7,21.2,11.3,5.1,0.5,8.4,54.4,82.2,5.9,12.5,16.4
"station_1",1993,13,52.5,17.9,69.3,50.8,3.4,18.6,7.6,27.9,21.1,8.2,0.9
"station_1",1994,0.4,4.6,1.6,10.5,0.7,3.3,54.4,78.6,82.9,0.795940453885123,39.4,10.4
"station_1",1995,0.9,6.6,36.5,10.8,4.7,0.5,145.6,60.6,4.9,15.1,1.7,8.7
"station_1",1996,7.2,1.1,21.4,4.2,19.7,2.4,9.2,13.9,5.7,0.6,19.9,2.1
"station_1",1997,7.7,0.7,56.9,9.4,5.1,1.7,13,7.3,2.3,19,44.4,13.8
"station_1",1998,21.8,1.6,5.5,3.7,3.8,6.7,48.1,95.7,3.8,14.3,2.8,0.3
"station_1",1999,6.3,2.8,14.7,1.4,0.7,0.6,18.7,102.1,97.7,46.7,30,0.3
"station_1",2000,0.5,0.7,1,8.2,63.2,1.2,10,144.5,18.5,12.7,17,18.9
"station_1",2001,8,12.6,28.9,26.8,14.8,5.2,39,42.9,16.9,6.5,12.1,6.2
"station_1",2002,9.6,12.6,17.6,26.9,12.6,4.9,37.1,45.6,14,7.2,5.1,14.9
"station_1",2003,7.9,13.4,17.6,29.3,7.8,11,51.7,31.3,15.4,3.7,5.5,14.5
"station_1",2004,14.6,11.2,18.8,34.8,7.5,4,31.4,42.5,14.8,21,13.7,6.1
"station_1",2005,4.6,8.1,25.2,20.5,12,8.6,39.2,37.6,18.7,3.3,10.8,3.3
"station_1",2006,6.7,8.2,29.1,39.2,12,3,39.7,50,16.9,6,5.1,16
"station_1",2007,3.9,13.6,15.2,17.1,10.7,11.5,49.5,38.5,24,9.4,6.2,3.3
"station_1",2008,6.8,7,19.9,14,34.1,3.7,37.6,46,12.8,3.8,14.5,3.3
"station_1",2009,14.3,9.8,16.5,21.1,11.2,9.1,37.8,35.3,10.4,9.7,17.2,7.6
"station_1",2010,3.7,18,41.2,30,16,5,38,44,14.2,7,11.5,8.6
"station_1",2011,8,7,21.2,33.8,16,5.2,38,52.3,15.1,3.3,12.8,7
"station_1",2012,8,15,23,31.2,16,5,38,44,15.1,7,5.2,6.3
"station_1",2013,4.7,7,34,27.1,44.8,13.4,43.7,44.1,11.8,19.7,32.4,3.3
"station_1",2014,3.7,52,21.1,40.3,14,3.1,43.8,41.3,18.2,16.5,5.9,4.2
"station_1",2015,3.7,7,19.6,15.3,22.7,8,36.7,43.5,16.3,4.1,5.3,6.3
"station_2",1970,29.6,6,3.4,22.5,0.2,60.8,46.2,150.9,1.4,0.9,0.912319516763091,2.5
"station_2",1971,1,1.2,1.9,0.6,7.9,1.3,1.8,115,0.8,0.1,19.9,27.9
"station_2",1972,1.2,40.8,1.6,54.9,1.1,50.8,16,1.9,59.8,21.7,0.7,13.9
"station_2",1973,46.7,0.799164750380442,0.74515920272097,0.5,6.1,2.7,2.5,2,1,0.4,0.711285773199052,2.2
"station_2",1974,1.2,4.6,130.2,0.9,66.5,4,3.3,2.5,2.4,4.6,0.1,0.22406576690264
"station_2",1975,5,1.5,27.1,113.8,0.6,5.4,12.6,10.4,16.7,0.2,0.663295714184642,3.5
"station_2",1976,1.1,5.2,9.7,8.7,22.6,0.7,5.3,5.9,1.2,1.9,21.3,2.1
"station_2",1977,19.4,7.3,1.8,14.2,2.6,3.6,2.9,72.2,1,47.3,7.5,0.3
"station_2",1978,12.6,78.1,2.2,1.3,15,2.2,34.8,1.9,1.9,3.5,1.2,24.1
"station_2",1979,13.1,4,8,0.6,1.4,4,1.9,33.1,1.1,4.2,0.199878098908812,4.1
"station_2",1980,1.4,1.9,0.9,2.1,0.5,4.2,2.8,13.2,13,6.6,0.7,0.2
