"id_station","lon","lat"
"station_1",34.5,4.5
"station_2",35,4.5
"station_3",35.5,4.5
"station_4",34.5,4
"station_5",35,4
"station_6",35.5,4
"station_7",36,4
"station_8",36.5,4
"station_9",37,4
"station_10",37.5,4
"station_11",40.5,4
"station_12",41,4
"station_13",34.5,3.5
"station_14",35,3.5
"station_15",35.5,3.5
"station_16",36,3.5
"station_17",36.5,3.5
"station_18",37,3.5
"station_19",37.5,3.5
"station_20",38,3.5
"station_21",38.5,3.5
"station_22",39,3.5
"station_23",40,3.5
"station_24",40.5,3.5
"station_25",41,3.5
"station_26",41.5,3.5
"station_27",35,3
"station_28",35.5,3
"station_29",36,3
"station_30",36.5,3
"station_31",37,3
"station_32",37.5,3
"station_33",38,3
"station_34",38.5,3
"station_35",39,3
"station_36",39.5,3
"station_37",40,3
"station_38",40.5,3
"station_39",41,3
"station_40",35,2.5
"station_41",35.5,2.5
"station_42",36,2.5
"station_43",36.5,2.5
"station_44",37,2.5
"station_45",37.5,2.5
"station_46",38,2.5
"station_47",38.5,2.5
"station_48",39,2.5
"station_49",39.5,2.5
"station_50",40,2.5
"station_51",40.5,2.5
"station_52",35,2
"station_53",35.5,2
"station_54",36,2
"station_55",36.5,2
"station_56",37,2
"station_57",37.5,2
"station_58",38,2
"station_59",38.5,2
"station_60",39,2
"station_61",39.5,2
"station_62",40,2
"station_63",40.5,2
"station_64",35,1.5
"station_65",35.5,1.5
"station_66",36,1.5
"station_67",36.5,1.5
"station_68",37,1.5
"station_69",37.5,1.5
"station_70",38,1.5
"station_71",38.5,1.5
"station_72",39,1.5
"station_73",39.5,1.5
"station_74",40,1.5
"station_75",40.5,1.5
"station_76",34.5,1
"station_77",35,1
"station_78",35.5,1
"station_79",36,1
"station_80",36.5,1
"station_81",37,1
"station_82",37.5,1
"station_83",38,1
"station_84",38.5,1
"station_85",39,1
"station_86",39.5,1
"station_87",40,1
"station_88",40.5,1
"station_89",34.5,0.5
"station_90",35,0.5
"station_91",35.5,0.5
"station_92",36,0.5
"station_93",36.5,0.5
"station_94",37,0.5
"station_95",37.5,0.5
"station_96",38,0.5
"station_97",38.5,0.5
"station_98",39,0.5
"station_99",39.5,0.5
"station_100",40,0.5
"station_101",40.5,0.5
"station_102",34,0
"station_103",34.5,0
"station_104",35,0
"station_105",35.5,0
"station_106",36,0
"station_107",36.5,0
"station_108",37,0
"station_109",37.5,0
"station_110",38,0
"station_111",38.5,0
"station_112",39,0
"station_113",39.5,0
"station_114",40,0
"station_115",40.5,0
"station_116",41,0
"station_117",34,-0.5
"station_118",34.5,-0.5
"station_119",35,-0.5
"station_120",35.5,-0.5
"station_121",36,-0.5
"station_122",36.5,-0.5
"station_123",37,-0.5
"station_124",37.5,-0.5
"station_125",38,-0.5
"station_126",38.5,-0.5
"station_127",39,-0.5
"station_128",39.5,-0.5
"station_129",40,-0.5
"station_130",40.5,-0.5
"station_131",41,-0.5
"station_132",34.5,-1
"station_133",35,-1
"station_134",35.5,-1
"station_135",36,-1
"station_136",36.5,-1
"station_137",37,-1
"station_138",37.5,-1
"station_139",38,-1
"station_140",38.5,-1
"station_141",39,-1
"station_142",39.5,-1
"station_143",40,-1
"station_144",40.5,-1
"station_145",41,-1
"station_146",35,-1.5
"station_147",35.5,-1.5
"station_148",36,-1.5
"station_149",36.5,-1.5
"station_150",37,-1.5
"station_151",37.5,-1.5
"station_152",38,-1.5
"station_153",38.5,-1.5
"station_154",39,-1.5
"station_155",39.5,-1.5
"station_156",40,-1.5
"station_157",40.5,-1.5
"station_158",41,-1.5
"station_159",41.5,-1.5
"station_160",36,-2
"station_161",36.5,-2
"station_162",37,-2
"station_163",37.5,-2
"station_164",38,-2
"station_165",38.5,-2
"station_166",39,-2
"station_167",39.5,-2
"station_168",40,-2
"station_169",40.5,-2
"station_170",41,-2
"station_171",37,-2.5
"station_172",37.5,-2.5
"station_173",38,-2.5
"station_174",38.5,-2.5
"station_175",39,-2.5
"station_176",39.5,-2.5
"station_177",40,-2.5
"station_178",40.5,-2.5
"station_179",38,-3
"station_180",38.5,-3
"station_181",39,-3
"station_182",39.5,-3
"station_183",40,-3
"station_184",38,-3.5
"station_185",38.5,-3.5
"station_186",39,-3.5
"station_187",39.5,-3.5
"station_188",38.5,-4
"station_189",39,-4
"station_190",39.5,-4
"station_191",39,-4.5
