"id_station","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"station_1",1970,30.8,5,95.5,74.4,79,21.9,50.9,152.4,73,24.6,13.2,32.4
"station_1",1971,2.9,0.883627615170553,0.7,104.3,87.1,57.9,62.8,72.1,46.6,20.3,18.6,10.7
"station_1",1972,3.9,11.5,8.6,23.2,50.6,125.9,34.3,34.9,54.9,53.2,120.1,10.3
"station_1",1973,6.9,4.5,1.9,21.5,86.2,28.6,46.4,72.2,112.3,18.3,26.4,0.6
"station_1",1974,5.9,2,31.8,99.4,124.7,29.9,51.7,159.6,46.7,17.9,6.3,26.8
"station_1",1975,0.8,5.1,34.6,139.2,67.6,91.5,98.6,126.3,94,64,7.3,5.1
"station_1",1976,3.2,34.3,10.8,55.9,120.9,64.3,81.6,78.9,61.8,15.8,30.7,1.4
"station_1",1977,17.7,5.4,34.6,90.5,153.9,74.3,119.9,61.4,10.8,130.1,64.2,5.6
"station_1",1978,9.6,35.1,137.5,22.1,39.1,86.9,109.6,77.2,133.8,32.2,81.9,52.9
"station_1",1979,4,49.9,35.1,50.4,56.5,135.9,56.3,29.1,38.7,10.3,32.3,30
"station_1",1980,6.5,1.9,7.2,40.7,87.7,11,10.9,8,6.8,9.5,51.1,0.654505631653592
"station_1",1981,0.405071876011789,15.9,151.1,75.4,45.7,19,97.4,144.1,70.4,22.9,15.8,0.1
"station_1",1982,13.8,18.4,64.9,128.8,155.1,47.7,34.1,119.6,30.5,44.4,75.6,29.8
"station_1",1983,9.4,24.4,7.7,61.3,17.9,28.5,36.5,84,90,35.5,12.4,5.3
"station_1",1984,0.527325892355293,0.998944812687114,1.6,23.6,19.2,19.7,55.9,15,9.7,4.2,33.4,6.9
"station_1",1985,20.3,0.4,52.4,96.7,36,27.5,37.8,16.2,23.7,8.4,25.8,6.5
"station_1",1986,2,18.7,69.1,63.4,24.5,217.6,32.5,37,15.3,17.2,12.1,4.1
"station_1",1987,0.720113658113405,16.1,16,65.2,69.2,86.6,9.8,11.3,13.7,9.5,34.5,3.3
"station_1",1988,4.4,7.7,8.4,70.8,36.9,25.6,260.7,322.8,292.3,27.3,12.2,25
"station_1",1989,0.393980082590133,10,60.6,27.6,102,25.9,116.9,17.8,155.2,9.3,36.1,30.6
"station_1",1990,4.2,24.8,23,26.6,23.6,6.4,30.1,42.7,17.9,42,15.2,21.5
"station_1",1991,13.4,30.5,35.5,89.4,120.2,202.2,138.8,81.3,13.6,76.9,28.9,2.9
"station_1",1992,2.9,0.767854935023934,12.4,70,53.8,16.8,67.1,21.7,18,39.9,45.9,43.4
"station_1",1993,22.4,8.7,22.3,67,166.6,30.1,46.6,11.6,13.3,14,13.2,11.5
"station_1",1994,2.2,1.1,31.6,56.6,70,44.4,117.3,31.9,23.4,28.4,48.6,7.2
"station_1",1995,0.7,4.8,32.7,86.2,67.4,30.2,66,64.7,104.5,30.2,41.9,39.7
"station_1",1996,16.2,10.1,62.3,84.9,65.2,237.4,95.7,34,26.2,25.3,35.6,2.6
"station_1",1997,5.4,0.677511123474687,37.5,114.7,59.4,13.2,68.4,140,11.4,67.9,112.1,33.3
"station_1",1998,15.1,7.4,13.6,55.7,71.1,148,61.1,149.3,33.5,58.3,19.3,3.2
"station_1",1999,0.4,2.8,53.3,83.2,54.4,25.3,77,65.5,61.3,152.6,23.5,27.1
"station_1",2000,0.479921926278621,0.1,13.1,66.2,99.7,102.3,76.7,61.2,53.8,49.3,28.2,12.5
"station_1",2001,10.1,7,16.4,61.6,50.7,85.2,81.1,36.3,24.8,39.8,24.7,2.1
"station_1",2002,2.4,30.7,59.6,71.3,33.8,27.4,42.4,33.8,32.3,71.6,38.4,57.6
"station_1",2003,5,28.1,98.1,88.6,78.7,57.9,87.1,106.8,54.4,27.7,41.7,20.2
"station_1",2004,19.3,3.6,33.8,109.5,55.4,58.8,80.8,114.7,42.2,41.4,68.6,18.1
"station_1",2005,4.6,5.7,43.3,67.9,83.4,59.7,88.6,60.6,50.3,33.7,14,5.3
"station_1",2006,2.2,15.7,85.5,83.7,76.1,44.5,72.6,134.6,66.1,33.7,49.2,42.7
"station_1",2007,3.2,8.1,26.3,85.9,87.4,56.3,117.7,308.6,158.8,11.3,26.4,6.9
"station_1",2008,14.3,5.5,40.5,51.8,66.8,72.4,79,96.7,83.8,105.8,53.7,1.2
"station_1",2009,3,35.8,17.3,22.8,66.4,27.4,79.1,81.6,63.6,47.5,26.4,30.7
"station_1",2010,9.5,21.2,46.2,41.9,75.9,67.8,108.9,246.6,48.4,44.5,39.3,30.8
"station_1",2011,3.9,2.8,80,40.7,55.4,37,79.6,81.1,76.3,27.1,51.2,8.1
"station_1",2012,6,7.9,35.9,99.1,78,61.3,83.4,73.7,103.3,96.2,39,87.6
"station_1",2013,9.8,15.6,64.4,85.1,97.8,37,91.3,228.1,80,50,43.1,20.4
"station_1",2014,3.3,11.3,21.5,96.1,78.3,56.8,93.2,90.5,52.1,59.9,40.7,18.2
"station_1",2015,4.5,14,37.3,63,83.2,69.5,93.2,87.9,42.3,33.5,52.6,22.8
"station_2",1970,20.3,3,64,91.3,47.2,7.9,18.9,77.5,26.3,26.8,6.8,23.1
"station_2",1971,3.5,0.0405929575208575,0.3,91.6,70.5,26.2,45.4,33.1,16.5,13.5,18.6,6.2
"station_2",1972,1.6,12.1,4.9,12.6,24.7,110.1,12.4,12.3,41.2,30,78.9,12.9
"station_2",1973,4.7,2.8,1,25.5,52.3,9.8,17.5,25,79.3,6.8,25.8,0.3
"station_2",1974,6.3,4,36.5,95.5,105.7,10.8,36.1,108.1,17,8.3,4.6,15.5
"station_2",1975,1.1,3.1,17.6,111.9,53.3,65.1,47.5,43.3,50.6,35.1,4,2.6
"station_2",1976,3.1,32.9,5.4,41,53.9,34.2,46.5,29,45.9,5.6,32.2,0.8
"station_2",1977,16.5,5.8,29.3,114.8,129.9,39.1,81.8,21.3,3.8,89.1,53.3,3.2
"station_2",1978,3.7,42.4,92.6,19.7,16.8,30.4,47.7,27.4,123.2,17.3,47.8,88.1
"station_2",1979,1.5,54,28.2,68.8,39.3,84.4,21.1,10,20.8,12.5,43,19.1
"station_2",1980,8.6,1,6.3,32.2,90.9,3.7,3.8,2.7,2.5,3.5,26.6,0.388211062410846
"station_2",1981,0.550613194238394,23.8,147.1,74.4,20.2,6.2,38.9,107.8,25.2,17.3,8.5,0.792844066163525
"station_2",1982,5.7,11.3,57.1,151.7,107.2,17,12.7,65.2,10.9,15.7,62.7,28.1
"station_2",1983,4.4,14.7,6.4,55.4,7.7,12.7,13.5,49.9,60.4,15.4,11.2,8.1
"station_2",1984,0.372935784747824,0.284162466647103,0.8,26.4,8.2,6.7,23.8,5.1,4.9,1.5,47.9,9.2
"station_2",1985,14.6,0.2,39.1,91,15.7,9.6,20.8,5.5,8.5,3.2,15.4,4.6
"station_2",1986,0.8,12,67.5,57.1,14.4,147.1,12.2,20,5.6,7.5,6.9,3.2
"station_2",1987,0.540805265540257,18.7,9.7,58.7,41.7,60.4,5.3,3.7,5,3.3,23.9,1.7
"station_2",1988,2.5,4.3,4.3,66.3,19.7,11.4,179.2,212.6,200.6,15.9,6.5,15.4
"station_2",1989,0.937417759327218,11.3,47.7,17.6,83.2,9.2,76.1,6.2,108.8,3.2,21.6,30.5
"station_2",1990,1.8,20.5,16.8,20.1,12.5,2,11.3,14.8,6.3,25.1,8.1,13.8
"station_2",1991,9.1,19,34.1,51.8,87.3,143.9,91.3,45,5,50.9,26.6,1.8
"station_2",1992,1.1,0.254655130906031,8.6,67,37.3,5.9,39.6,7.6,9.1,18.3,44.9,40.6
"station_2",1993,15.7,11.3,16.9,55.3,137.6,15,18.2,3.8,4.4,7,6.9,7.2
"station_2",1994,1,1.3,28.6,50.6,51,35.1,65,18.6,12.2,15.9,39.9,5.2
"station_2",1995,0.5,6.4,24.7,71.4,48,17,33,30.5,83.6,14.7,35.6,31.2
"station_2",1996,8.3,8.5,54.2,69.5,45.9,156.5,74.2,15,14.4,11.5,30.5,3.3
"station_2",1997,3.1,0.337854869430885,24.6,114,42.7,8.7,54.8,111,6.1,44,91.2,24.2
"station_2",1998,8.3,8.5,11.8,42.1,50.7,110.8,29.1,99.4,15,28.9,11.8,2.2
"station_2",1999,0.4,2.2,47.8,65.4,35.9,11.4,43.5,36.6,36.6,99.6,21.3,23.8
"station_2",2000,0.472406750777736,0.1,10.4,59.5,74.2,63,48,40.1,32.6,28.5,24.1,11.8
"station_2",2001,7.8,6.3,15,57.9,34,50.6,52.7,20.7,15.3,23,19.5,1.9
"station_2",2002,2.1,31.6,49.3,65.9,27,6.4,21.5,16.1,15.6,41,29.4,50.8
"station_2",2003,2.6,25,90,86.7,52.6,36.2,53.5,60.5,31.8,17.8,29.6,17.3
"station_2",2004,11.3,4.1,29,96.9,43.3,33.5,51.3,62.3,28.9,25.9,54.6,20.5
"station_2",2005,3.6,6.4,42.2,61.3,60.8,35.1,57.2,39.5,32.7,20.3,12.1,5.6
"station_2",2006,1.7,17.3,70.5,72.5,53.9,27.2,50,75.6,39.5,20.8,45.6,39.2
