"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"1",2,34.5,4.5,30.8,34.5,4.5,TRUE
"2",3,35,4.5,20.3,35,4.5,TRUE
"3",4,35.5,4.5,34.9,35.5,4.5,TRUE
"4",18,34.5,4,56.5,34.5,4,TRUE
"5",19,35,4,38,35,4,TRUE
"6",20,35.5,4,38.6,35.5,4,TRUE
"7",21,36,4,55.6,36,4,TRUE
"8",22,36.5,4,56.4,36.5,4,TRUE
"9",23,37,4,64.4,37,4,TRUE
"10",24,37.5,4,71.7,37.5,4,TRUE
"11",30,40.5,4,16.7,40.5,4,TRUE
"12",31,41,4,8.8,41,4,TRUE
"13",34,34.5,3.5,61.8,34.5,3.5,TRUE
"14",35,35,3.5,48,35,3.5,TRUE
"15",36,35.5,3.5,52.8,35.5,3.5,TRUE
"16",37,36,3.5,67.1,36,3.5,TRUE
"17",38,36.5,3.5,77.8,36.5,3.5,TRUE
"18",39,37,3.5,103.6,37,3.5,TRUE
"19",40,37.5,3.5,88.2,37.5,3.5,TRUE
"20",41,38,3.5,125,38,3.5,TRUE
"21",42,38.5,3.5,118.7,38.5,3.5,TRUE
"22",43,39,3.5,79.4,39,3.5,TRUE
"23",45,40,3.5,34.1,40,3.5,TRUE
"24",46,40.5,3.5,18.4,40.5,3.5,TRUE
"25",47,41,3.5,7.9,41,3.5,TRUE
"26",48,41.5,3.5,0.4,41.5,3.5,TRUE
"27",51,35,3,53.7,35,3,TRUE
"28",52,35.5,3,53.8,35.5,3,TRUE
"29",53,36,3,102.1,36,3,TRUE
"30",54,36.5,3,118.5,36.5,3,TRUE
"31",55,37,3,162.2,37,3,TRUE
"32",56,37.5,3,146.7,37.5,3,TRUE
"33",57,38,3,156.1,38,3,TRUE
"34",58,38.5,3,151.2,38.5,3,TRUE
"35",59,39,3,98.6,39,3,TRUE
"36",60,39.5,3,59.9,39.5,3,TRUE
"37",61,40,3,30.8,40,3,TRUE
"38",62,40.5,3,11.2,40.5,3,TRUE
"39",63,41,3,2,41,3,TRUE
"40",67,35,2.5,62.1,35,2.5,TRUE
"41",68,35.5,2.5,69.9,35.5,2.5,TRUE
"42",69,36,2.5,115.4,36,2.5,TRUE
"43",70,36.5,2.5,151.8,36.5,2.5,TRUE
"44",71,37,2.5,183.7,37,2.5,TRUE
"45",72,37.5,2.5,190.5,37.5,2.5,TRUE
"46",73,38,2.5,187.5,38,2.5,TRUE
"47",74,38.5,2.5,165.9,38.5,2.5,TRUE
"48",75,39,2.5,98.6,39,2.5,TRUE
"49",76,39.5,2.5,52.5,39.5,2.5,TRUE
"50",77,40,2.5,20.7,40,2.5,TRUE
"51",78,40.5,2.5,3.6,40.5,2.5,TRUE
"52",83,35,2,69.7,35,2,TRUE
"53",84,35.5,2,101.5,35.5,2,TRUE
"54",85,36,2,124.7,36,2,TRUE
"55",86,36.5,2,164.7,36.5,2,TRUE
"56",87,37,2,197.7,37,2,TRUE
"57",88,37.5,2,210.8,37.5,2,TRUE
"58",89,38,2,138.9,38,2,TRUE
"59",90,38.5,2,106.4,38.5,2,TRUE
"60",91,39,2,63,39,2,TRUE
"61",92,39.5,2,29.1,39.5,2,TRUE
"62",93,40,2,7,40,2,TRUE
"63",94,40.5,2,1,40.5,2,TRUE
"64",99,35,1.5,68.2,35,1.5,TRUE
"65",100,35.5,1.5,138.4,35.5,1.5,TRUE
"66",101,36,1.5,148,36,1.5,TRUE
"67",102,36.5,1.5,182.4,36.5,1.5,TRUE
"68",103,37,1.5,205.6,37,1.5,TRUE
"69",104,37.5,1.5,138.7,37.5,1.5,TRUE
"70",105,38,1.5,118.6,38,1.5,TRUE
"71",106,38.5,1.5,92.8,38.5,1.5,TRUE
"72",107,39,1.5,52,39,1.5,TRUE
"73",108,39.5,1.5,21.8,39.5,1.5,TRUE
"74",109,40,1.5,11.6,40,1.5,TRUE
"75",110,40.5,1.5,5.9,40.5,1.5,TRUE
"76",114,34.5,1,211.6,34.5,1,TRUE
"77",115,35,1,122.2,35,1,TRUE
"78",116,35.5,1,151.5,35.5,1,TRUE
"79",117,36,1,182.5,36,1,TRUE
"80",118,36.5,1,223.7,36.5,1,TRUE
"81",119,37,1,173.8,37,1,TRUE
"82",120,37.5,1,84,37.5,1,TRUE
"83",121,38,1,134,38,1,TRUE
"84",122,38.5,1,91.8,38.5,1,TRUE
"85",123,39,1,55.1,39,1,TRUE
"86",124,39.5,1,38.7,39.5,1,TRUE
"87",125,40,1,24.6,40,1,TRUE
"88",126,40.5,1,12.4,40.5,1,TRUE
"89",130,34.5,0.5,132.6,34.5,0.5,TRUE
"90",131,35,0.5,139.6,35,0.5,TRUE
"91",132,35.5,0.5,243.2,35.5,0.5,TRUE
"92",133,36,0.5,229.4,36,0.5,TRUE
"93",134,36.5,0.5,207.8,36.5,0.5,TRUE
"94",135,37,0.5,138.3,37,0.5,TRUE
"95",136,37.5,0.5,70.1,37.5,0.5,TRUE
"96",137,38,0.5,129.8,38,0.5,TRUE
"97",138,38.5,0.5,107.9,38.5,0.5,TRUE
"98",139,39,0.5,83.8,39,0.5,TRUE
