"id_station","lon","lat"
"station_1",12,23.5
"station_2",11.5,23
"station_3",12,23
"station_4",12.5,23
"station_5",13,23
"station_6",13.5,23
"station_7",10.5,22.5
"station_8",11,22.5
"station_9",11.5,22.5
"station_10",12,22.5
"station_11",12.5,22.5
"station_12",13,22.5
"station_13",13.5,22.5
"station_14",14,22.5
"station_15",14.5,22.5
"station_16",15,22.5
"station_17",9.5,22
"station_18",10,22
"station_19",10.5,22
"station_20",11,22
"station_21",11.5,22
"station_22",12,22
"station_23",12.5,22
"station_24",13,22
"station_25",13.5,22
"station_26",14,22
"station_27",14.5,22
"station_28",15,22
"station_29",9,21.5
"station_30",9.5,21.5
"station_31",10,21.5
"station_32",10.5,21.5
"station_33",11,21.5
"station_34",11.5,21.5
"station_35",12,21.5
"station_36",12.5,21.5
"station_37",13,21.5
"station_38",13.5,21.5
"station_39",14,21.5
"station_40",14.5,21.5
"station_41",15,21.5
"station_42",8,21
"station_43",8.5,21
"station_44",9,21
"station_45",9.5,21
"station_46",10,21
"station_47",10.5,21
"station_48",11,21
"station_49",11.5,21
"station_50",12,21
"station_51",12.5,21
"station_52",13,21
"station_53",13.5,21
"station_54",14,21
"station_55",14.5,21
"station_56",15,21
"station_57",15.5,21
"station_58",7.5,20.5
"station_59",8,20.5
"station_60",8.5,20.5
"station_61",9,20.5
"station_62",9.5,20.5
"station_63",10,20.5
"station_64",10.5,20.5
"station_65",11,20.5
"station_66",11.5,20.5
"station_67",12,20.5
"station_68",12.5,20.5
"station_69",13,20.5
"station_70",13.5,20.5
"station_71",14,20.5
"station_72",14.5,20.5
"station_73",15,20.5
"station_74",15.5,20.5
"station_75",6.5,20
"station_76",7,20
"station_77",7.5,20
"station_78",8,20
"station_79",8.5,20
"station_80",9,20
"station_81",9.5,20
"station_82",10,20
"station_83",10.5,20
"station_84",11,20
"station_85",11.5,20
"station_86",12,20
"station_87",12.5,20
"station_88",13,20
"station_89",13.5,20
"station_90",14,20
"station_91",14.5,20
"station_92",15,20
"station_93",15.5,20
"station_94",6,19.5
"station_95",6.5,19.5
"station_96",7,19.5
"station_97",7.5,19.5
"station_98",8,19.5
"station_99",8.5,19.5
"station_100",9,19.5
"station_101",9.5,19.5
"station_102",10,19.5
"station_103",10.5,19.5
"station_104",11,19.5
"station_105",11.5,19.5
"station_106",12,19.5
"station_107",12.5,19.5
"station_108",13,19.5
"station_109",13.5,19.5
"station_110",14,19.5
"station_111",14.5,19.5
"station_112",15,19.5
"station_113",15.5,19.5
"station_114",4.5,19
"station_115",5,19
"station_116",5.5,19
"station_117",6,19
"station_118",6.5,19
"station_119",7,19
"station_120",7.5,19
"station_121",8,19
"station_122",8.5,19
"station_123",9,19
"station_124",9.5,19
"station_125",10,19
"station_126",10.5,19
"station_127",11,19
"station_128",11.5,19
"station_129",12,19
"station_130",12.5,19
"station_131",13,19
"station_132",13.5,19
"station_133",14,19
"station_134",14.5,19
"station_135",15,19
"station_136",15.5,19
"station_137",4.5,18.5
"station_138",5,18.5
"station_139",5.5,18.5
"station_140",6,18.5
"station_141",6.5,18.5
"station_142",7,18.5
"station_143",7.5,18.5
"station_144",8,18.5
"station_145",8.5,18.5
"station_146",9,18.5
"station_147",9.5,18.5
"station_148",10,18.5
"station_149",10.5,18.5
"station_150",11,18.5
"station_151",11.5,18.5
"station_152",12,18.5
"station_153",12.5,18.5
"station_154",13,18.5
"station_155",13.5,18.5
"station_156",14,18.5
"station_157",14.5,18.5
"station_158",15,18.5
"station_159",15.5,18.5
"station_160",4.5,18
"station_161",5,18
"station_162",5.5,18
"station_163",6,18
"station_164",6.5,18
"station_165",7,18
"station_166",7.5,18
"station_167",8,18
"station_168",8.5,18
"station_169",9,18
"station_170",9.5,18
"station_171",10,18
"station_172",10.5,18
"station_173",11,18
"station_174",11.5,18
"station_175",12,18
"station_176",12.5,18
"station_177",13,18
"station_178",13.5,18
"station_179",14,18
"station_180",14.5,18
"station_181",15,18
"station_182",15.5,18
"station_183",4.5,17.5
"station_184",5,17.5
"station_185",5.5,17.5
"station_186",6,17.5
"station_187",6.5,17.5
"station_188",7,17.5
"station_189",7.5,17.5
"station_190",8,17.5
"station_191",8.5,17.5
"station_192",9,17.5
"station_193",9.5,17.5
"station_194",10,17.5
"station_195",10.5,17.5
"station_196",11,17.5
"station_197",11.5,17.5
"station_198",12,17.5
"station_199",12.5,17.5
"station_200",13,17.5
"station_201",13.5,17.5
"station_202",14,17.5
