"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"1",24,12,23.5,0,12,23.5,TRUE
"2",54,11.5,23,0,11.5,23,TRUE
"3",55,12,23,0,12,23,TRUE
"4",56,12.5,23,0,12.5,23,TRUE
"5",57,13,23,0,13,23,TRUE
"6",58,13.5,23,0,13.5,23,TRUE
"7",83,10.5,22.5,0,10.5,22.5,TRUE
"8",84,11,22.5,0,11,22.5,TRUE
"9",85,11.5,22.5,0,11.5,22.5,TRUE
"10",86,12,22.5,0,12,22.5,TRUE
"11",87,12.5,22.5,0,12.5,22.5,TRUE
"12",88,13,22.5,0,13,22.5,TRUE
"13",89,13.5,22.5,0,13.5,22.5,TRUE
"14",90,14,22.5,0,14,22.5,TRUE
"15",91,14.5,22.5,0,14.5,22.5,TRUE
"16",92,15,22.5,0,15,22.5,TRUE
"17",112,9.5,22,0,9.5,22,TRUE
"18",113,10,22,0,10,22,TRUE
"19",114,10.5,22,0,10.5,22,TRUE
"20",115,11,22,0,11,22,TRUE
"21",116,11.5,22,0,11.5,22,TRUE
"22",117,12,22,0,12,22,TRUE
"23",118,12.5,22,0,12.5,22,TRUE
"24",119,13,22,0,13,22,TRUE
"25",120,13.5,22,0,13.5,22,TRUE
"26",121,14,22,0,14,22,TRUE
"27",122,14.5,22,0,14.5,22,TRUE
"28",123,15,22,0,15,22,TRUE
"29",142,9,21.5,0,9,21.5,TRUE
"30",143,9.5,21.5,0,9.5,21.5,TRUE
"31",144,10,21.5,0,10,21.5,TRUE
"32",145,10.5,21.5,0,10.5,21.5,TRUE
"33",146,11,21.5,0,11,21.5,TRUE
"34",147,11.5,21.5,0,11.5,21.5,TRUE
"35",148,12,21.5,0,12,21.5,TRUE
"36",149,12.5,21.5,0,12.5,21.5,TRUE
"37",150,13,21.5,0,13,21.5,TRUE
"38",151,13.5,21.5,0,13.5,21.5,TRUE
"39",152,14,21.5,0,14,21.5,TRUE
"40",153,14.5,21.5,0,14.5,21.5,TRUE
"41",154,15,21.5,0,15,21.5,TRUE
"42",171,8,21,0,8,21,TRUE
"43",172,8.5,21,0,8.5,21,TRUE
"44",173,9,21,0,9,21,TRUE
"45",174,9.5,21,0,9.5,21,TRUE
"46",175,10,21,0,10,21,TRUE
"47",176,10.5,21,0,10.5,21,TRUE
"48",177,11,21,0,11,21,TRUE
"49",178,11.5,21,0,11.5,21,TRUE
"50",179,12,21,0,12,21,TRUE
"51",180,12.5,21,0,12.5,21,TRUE
"52",181,13,21,0,13,21,TRUE
"53",182,13.5,21,0,13.5,21,TRUE
"54",183,14,21,0,14,21,TRUE
"55",184,14.5,21,0,14.5,21,TRUE
"56",185,15,21,0,15,21,TRUE
"57",186,15.5,21,0,15.5,21,TRUE
"58",201,7.5,20.5,0,7.5,20.5,TRUE
"59",202,8,20.5,0,8,20.5,TRUE
"60",203,8.5,20.5,0,8.5,20.5,TRUE
"61",204,9,20.5,0,9,20.5,TRUE
"62",205,9.5,20.5,0,9.5,20.5,TRUE
"63",206,10,20.5,0,10,20.5,TRUE
"64",207,10.5,20.5,0,10.5,20.5,TRUE
"65",208,11,20.5,0,11,20.5,TRUE
"66",209,11.5,20.5,0,11.5,20.5,TRUE
"67",210,12,20.5,0,12,20.5,TRUE
"68",211,12.5,20.5,0,12.5,20.5,TRUE
"69",212,13,20.5,0,13,20.5,TRUE
"70",213,13.5,20.5,0,13.5,20.5,TRUE
"71",214,14,20.5,0,14,20.5,TRUE
"72",215,14.5,20.5,0,14.5,20.5,TRUE
"73",216,15,20.5,0,15,20.5,TRUE
"74",217,15.5,20.5,0,15.5,20.5,TRUE
"75",230,6.5,20,0,6.5,20,TRUE
"76",231,7,20,0,7,20,TRUE
"77",232,7.5,20,0,7.5,20,TRUE
"78",233,8,20,0,8,20,TRUE
"79",234,8.5,20,0,8.5,20,TRUE
"80",235,9,20,0,9,20,TRUE
"81",236,9.5,20,0,9.5,20,TRUE
"82",237,10,20,0,10,20,TRUE
"83",238,10.5,20,0,10.5,20,TRUE
"84",239,11,20,0,11,20,TRUE
"85",240,11.5,20,0,11.5,20,TRUE
"86",241,12,20,0,12,20,TRUE
"87",242,12.5,20,0,12.5,20,TRUE
"88",243,13,20,0,13,20,TRUE
"89",244,13.5,20,0,13.5,20,TRUE
"90",245,14,20,0,14,20,TRUE
"91",246,14.5,20,0,14.5,20,TRUE
"92",247,15,20,0,15,20,TRUE
"93",248,15.5,20,0,15.5,20,TRUE
"94",260,6,19.5,0,6,19.5,TRUE
"95",261,6.5,19.5,0,6.5,19.5,TRUE
"96",262,7,19.5,0,7,19.5,TRUE
"97",263,7.5,19.5,0,7.5,19.5,TRUE
"98",264,8,19.5,0,8,19.5,TRUE
"99",265,8.5,19.5,0,8.5,19.5,TRUE
"100",266,9,19.5,0,9,19.5,TRUE
"101",267,9.5,19.5,0,9.5,19.5,TRUE
"102",268,10,19.5,0,10,19.5,TRUE
"103",269,10.5,19.5,0,10.5,19.5,TRUE
"104",270,11,19.5,0,11,19.5,TRUE
"105",271,11.5,19.5,0,11.5,19.5,TRUE
"106",272,12,19.5,0,12,19.5,TRUE
"107",273,12.5,19.5,0,12.5,19.5,TRUE
"108",274,13,19.5,0,13,19.5,TRUE
"109",275,13.5,19.5,0,13.5,19.5,TRUE
"110",276,14,19.5,0,14,19.5,TRUE
"111",277,14.5,19.5,0,14.5,19.5,TRUE
"112",278,15,19.5,0,15,19.5,TRUE
"113",279,15.5,19.5,0,15.5,19.5,TRUE
"114",288,4.5,19,0,4.5,19,TRUE
"115",289,5,19,0,5,19,TRUE
"116",290,5.5,19,0,5.5,19,TRUE
"117",291,6,19,0,6,19,TRUE
"118",292,6.5,19,0,6.5,19,TRUE
"119",293,7,19,0,7,19,TRUE
"120",294,7.5,19,0,7.5,19,TRUE
"121",295,8,19,0,8,19,TRUE
"122",296,8.5,19,0,8.5,19,TRUE
"123",297,9,19,0.8,9,19,TRUE
"124",298,9.5,19,0.8,9.5,19,TRUE
"125",299,10,19,0,10,19,TRUE
"126",300,10.5,19,0,10.5,19,TRUE
"127",301,11,19,0,11,19,TRUE
"128",302,11.5,19,0,11.5,19,TRUE
"129",303,12,19,0,12,19,TRUE
"130",304,12.5,19,0,12.5,19,TRUE
"131",305,13,19,0,13,19,TRUE
"132",306,13.5,19,0,13.5,19,TRUE
"133",307,14,19,0,14,19,TRUE
"134",308,14.5,19,0,14.5,19,TRUE
"135",309,15,19,0,15,19,TRUE
"136",310,15.5,19,0,15.5,19,TRUE
"137",319,4.5,18.5,0,4.5,18.5,TRUE
"138",320,5,18.5,0,5,18.5,TRUE
"139",321,5.5,18.5,0,5.5,18.5,TRUE
"140",322,6,18.5,0,6,18.5,TRUE
"141",323,6.5,18.5,0,6.5,18.5,TRUE
"142",324,7,18.5,0,7,18.5,TRUE
"143",325,7.5,18.5,0,7.5,18.5,TRUE
"144",326,8,18.5,0,8,18.5,TRUE
"145",327,8.5,18.5,0,8.5,18.5,TRUE
"146",328,9,18.5,0.9,9,18.5,TRUE
"147",329,9.5,18.5,0,9.5,18.5,TRUE
"148",330,10,18.5,0,10,18.5,TRUE
"149",331,10.5,18.5,0,10.5,18.5,TRUE
"150",332,11,18.5,0,11,18.5,TRUE
"151",333,11.5,18.5,0,11.5,18.5,TRUE
"152",334,12,18.5,0,12,18.5,TRUE
"153",335,12.5,18.5,0,12.5,18.5,TRUE
"154",336,13,18.5,0,13,18.5,TRUE
"155",337,13.5,18.5,0,13.5,18.5,TRUE
"156",338,14,18.5,0,14,18.5,TRUE
"157",339,14.5,18.5,0,14.5,18.5,TRUE
"158",340,15,18.5,0,15,18.5,TRUE
"159",341,15.5,18.5,0,15.5,18.5,TRUE
"160",350,4.5,18,0,4.5,18,TRUE
"161",351,5,18,0,5,18,TRUE
"162",352,5.5,18,0,5.5,18,TRUE
"163",353,6,18,0,6,18,TRUE
"164",354,6.5,18,0,6.5,18,TRUE
"165",355,7,18,0,7,18,TRUE
"166",356,7.5,18,0,7.5,18,TRUE
"167",357,8,18,0,8,18,TRUE
"168",358,8.5,18,0,8.5,18,TRUE
"169",359,9,18,1,9,18,TRUE
"170",360,9.5,18,0,9.5,18,TRUE
"171",361,10,18,0,10,18,TRUE
"172",362,10.5,18,0,10.5,18,TRUE
"173",363,11,18,0,11,18,TRUE
"174",364,11.5,18,0,11.5,18,TRUE
"175",365,12,18,0,12,18,TRUE
"176",366,12.5,18,0,12.5,18,TRUE
"177",367,13,18,0,13,18,TRUE
"178",368,13.5,18,0,13.5,18,TRUE
"179",369,14,18,0,14,18,TRUE
"180",370,14.5,18,0,14.5,18,TRUE
"181",371,15,18,0,15,18,TRUE
"182",372,15.5,18,0,15.5,18,TRUE
"183",381,4.5,17.5,0,4.5,17.5,TRUE
"184",382,5,17.5,0,5,17.5,TRUE
"185",383,5.5,17.5,0,5.5,17.5,TRUE
"186",384,6,17.5,0,6,17.5,TRUE
"187",385,6.5,17.5,0,6.5,17.5,TRUE
"188",386,7,17.5,0,7,17.5,TRUE
"189",387,7.5,17.5,0,7.5,17.5,TRUE
"190",388,8,17.5,0,8,17.5,TRUE
"191",389,8.5,17.5,0,8.5,17.5,TRUE
"192",390,9,17.5,0,9,17.5,TRUE
"193",391,9.5,17.5,0,9.5,17.5,TRUE
"194",392,10,17.5,0,10,17.5,TRUE
"195",393,10.5,17.5,0,10.5,17.5,TRUE
"196",394,11,17.5,0,11,17.5,TRUE
"197",395,11.5,17.5,0,11.5,17.5,TRUE
"198",396,12,17.5,0,12,17.5,TRUE
"199",397,12.5,17.5,0,12.5,17.5,TRUE
"200",398,13,17.5,0,13,17.5,TRUE
"201",399,13.5,17.5,0,13.5,17.5,TRUE
"202",400,14,17.5,0,14,17.5,TRUE
"203",401,14.5,17.5,0,14.5,17.5,TRUE
"204",402,15,17.5,0,15,17.5,TRUE
"205",403,15.5,17.5,0,15.5,17.5,TRUE
"206",412,4.5,17,0,4.5,17,TRUE
"207",413,5,17,0,5,17,TRUE
"208",414,5.5,17,0,5.5,17,TRUE
"209",415,6,17,0,6,17,TRUE
"210",416,6.5,17,0,6.5,17,TRUE
"211",417,7,17,0,7,17,TRUE
"212",418,7.5,17,0,7.5,17,TRUE
"213",419,8,17,0,8,17,TRUE
"214",420,8.5,17,0,8.5,17,TRUE
"215",421,9,17,0,9,17,TRUE
"216",422,9.5,17,0,9.5,17,TRUE
"217",423,10,17,0,10,17,TRUE
"218",424,10.5,17,0,10.5,17,TRUE
"219",425,11,17,0,11,17,TRUE
"220",426,11.5,17,0,11.5,17,TRUE
"221",427,12,17,0,12,17,TRUE
"222",428,12.5,17,0,12.5,17,TRUE
"223",429,13,17,0,13,17,TRUE
"224",430,13.5,17,0,13.5,17,TRUE
"225",431,14,17,0,14,17,TRUE
"226",432,14.5,17,0,14.5,17,TRUE
"227",433,15,17,0,15,17,TRUE
"228",434,15.5,17,0,15.5,17,TRUE
"229",443,4.5,16.5,0,4.5,16.5,TRUE
"230",444,5,16.5,0,5,16.5,TRUE
"231",445,5.5,16.5,0,5.5,16.5,TRUE
"232",446,6,16.5,0,6,16.5,TRUE
"233",447,6.5,16.5,0,6.5,16.5,TRUE
"234",448,7,16.5,0,7,16.5,TRUE
"235",449,7.5,16.5,0,7.5,16.5,TRUE
"236",450,8,16.5,0,8,16.5,TRUE
"237",451,8.5,16.5,0,8.5,16.5,TRUE
"238",452,9,16.5,0,9,16.5,TRUE
"239",453,9.5,16.5,0,9.5,16.5,TRUE
"240",454,10,16.5,0,10,16.5,TRUE
"241",455,10.5,16.5,0,10.5,16.5,TRUE
"242",456,11,16.5,0,11,16.5,TRUE
"243",457,11.5,16.5,0,11.5,16.5,TRUE
"244",458,12,16.5,0,12,16.5,TRUE
"245",459,12.5,16.5,0,12.5,16.5,TRUE
"246",460,13,16.5,0,13,16.5,TRUE
"247",461,13.5,16.5,0,13.5,16.5,TRUE
"248",462,14,16.5,0,14,16.5,TRUE
"249",463,14.5,16.5,0,14.5,16.5,TRUE
"250",464,15,16.5,0,15,16.5,TRUE
"251",474,4.5,16,0,4.5,16,TRUE
"252",475,5,16,0,5,16,TRUE
"253",476,5.5,16,0,5.5,16,TRUE
"254",477,6,16,0,6,16,TRUE
"255",478,6.5,16,0,6.5,16,TRUE
"256",479,7,16,0,7,16,TRUE
"257",480,7.5,16,0,7.5,16,TRUE
"258",481,8,16,0,8,16,TRUE
"259",482,8.5,16,0,8.5,16,TRUE
"260",483,9,16,0,9,16,TRUE
"261",484,9.5,16,0,9.5,16,TRUE
"262",485,10,16,0,10,16,TRUE
"263",486,10.5,16,0,10.5,16,TRUE
"264",487,11,16,0,11,16,TRUE
"265",488,11.5,16,0,11.5,16,TRUE
"266",489,12,16,0,12,16,TRUE
"267",490,12.5,16,0,12.5,16,TRUE
"268",491,13,16,0,13,16,TRUE
"269",492,13.5,16,0,13.5,16,TRUE
"270",493,14,16,0,14,16,TRUE
"271",494,14.5,16,0,14.5,16,TRUE
"272",504,4,15.5,0,4,15.5,TRUE
"273",505,4.5,15.5,0,4.5,15.5,TRUE
"274",506,5,15.5,0,5,15.5,TRUE
"275",507,5.5,15.5,0,5.5,15.5,TRUE
"276",508,6,15.5,0,6,15.5,TRUE
"277",509,6.5,15.5,0,6.5,15.5,TRUE
"278",510,7,15.5,0,7,15.5,TRUE
"279",511,7.5,15.5,0,7.5,15.5,TRUE
"280",512,8,15.5,0,8,15.5,TRUE
"281",513,8.5,15.5,0,8.5,15.5,TRUE
"282",514,9,15.5,0,9,15.5,TRUE
"283",515,9.5,15.5,0,9.5,15.5,TRUE
"284",516,10,15.5,0,10,15.5,TRUE
"285",517,10.5,15.5,0,10.5,15.5,TRUE
"286",518,11,15.5,0,11,15.5,TRUE
"287",519,11.5,15.5,0,11.5,15.5,TRUE
"288",520,12,15.5,0,12,15.5,TRUE
"289",521,12.5,15.5,0,12.5,15.5,TRUE
"290",522,13,15.5,0,13,15.5,TRUE
"291",523,13.5,15.5,0,13.5,15.5,TRUE
"292",524,14,15.5,0,14,15.5,TRUE
"293",529,1,15,0,1,15,TRUE
"294",530,1.5,15,0,1.5,15,TRUE
"295",531,2,15,0,2,15,TRUE
"296",532,2.5,15,0,2.5,15,TRUE
"297",533,3,15,0,3,15,TRUE
"298",534,3.5,15,0,3.5,15,TRUE
"299",535,4,15,0,4,15,TRUE
"300",536,4.5,15,0,4.5,15,TRUE
"301",537,5,15,0,5,15,TRUE
"302",538,5.5,15,0,5.5,15,TRUE
"303",539,6,15,0,6,15,TRUE
"304",540,6.5,15,0,6.5,15,TRUE
"305",541,7,15,0,7,15,TRUE
"306",542,7.5,15,0,7.5,15,TRUE
"307",543,8,15,0,8,15,TRUE
"308",544,8.5,15,0,8.5,15,TRUE
"309",545,9,15,0,9,15,TRUE
"310",546,9.5,15,0,9.5,15,TRUE
"311",547,10,15,0,10,15,TRUE
"312",548,10.5,15,0,10.5,15,TRUE
"313",549,11,15,0,11,15,TRUE
"314",550,11.5,15,0,11.5,15,TRUE
"315",551,12,15,0,12,15,TRUE
"316",552,12.5,15,0,12.5,15,TRUE
"317",553,13,15,0,13,15,TRUE
"318",554,13.5,15,0,13.5,15,TRUE
"319",559,0.5,14.5,0,0.5,14.5,TRUE
"320",560,1,14.5,0,1,14.5,TRUE
"321",561,1.5,14.5,0,1.5,14.5,TRUE
"322",562,2,14.5,0,2,14.5,TRUE
"323",563,2.5,14.5,0,2.5,14.5,TRUE
"324",564,3,14.5,0,3,14.5,TRUE
"325",565,3.5,14.5,0,3.5,14.5,TRUE
"326",566,4,14.5,0,4,14.5,TRUE
"327",567,4.5,14.5,0,4.5,14.5,TRUE
"328",568,5,14.5,0,5,14.5,TRUE
"329",569,5.5,14.5,0,5.5,14.5,TRUE
"330",570,6,14.5,0,6,14.5,TRUE
"331",571,6.5,14.5,0,6.5,14.5,TRUE
"332",572,7,14.5,0,7,14.5,TRUE
"333",573,7.5,14.5,0,7.5,14.5,TRUE
"334",574,8,14.5,0,8,14.5,TRUE
"335",575,8.5,14.5,0,8.5,14.5,TRUE
"336",576,9,14.5,0,9,14.5,TRUE
"337",577,9.5,14.5,0,9.5,14.5,TRUE
"338",578,10,14.5,0,10,14.5,TRUE
"339",579,10.5,14.5,0,10.5,14.5,TRUE
"340",580,11,14.5,0,11,14.5,TRUE
"341",581,11.5,14.5,0,11.5,14.5,TRUE
"342",582,12,14.5,0,12,14.5,TRUE
"343",583,12.5,14.5,0,12.5,14.5,TRUE
"344",584,13,14.5,0,13,14.5,TRUE
"345",585,13.5,14.5,0,13.5,14.5,TRUE
"346",590,0.5,14,0,0.5,14,TRUE
"347",591,1,14,0,1,14,TRUE
"348",592,1.5,14,0,1.5,14,TRUE
"349",593,2,14,0,2,14,TRUE
