"id_station","lon","lat"
"station_1",4.5,13.5
"station_2",5,13.5
"station_3",5.5,13.5
"station_4",6,13.5
"station_5",6.5,13.5
"station_6",13,13.5
"station_7",13.5,13.5
"station_8",4.5,13
"station_9",5,13
"station_10",5.5,13
"station_11",6,13
"station_12",6.5,13
"station_13",7.5,13
"station_14",8,13
"station_15",8.5,13
"station_16",10,13
"station_17",10.5,13
"station_18",11,13
"station_19",11.5,13
"station_20",12,13
"station_21",12.5,13
"station_22",13,13
"station_23",13.5,13
"station_24",14,13
"station_25",4,12.5
"station_26",4.5,12.5
"station_27",5,12.5
"station_28",5.5,12.5
"station_29",6,12.5
"station_30",6.5,12.5
"station_31",7,12.5
"station_32",7.5,12.5
"station_33",8,12.5
"station_34",8.5,12.5
"station_35",9,12.5
"station_36",9.5,12.5
"station_37",10,12.5
"station_38",10.5,12.5
"station_39",11,12.5
"station_40",11.5,12.5
"station_41",12,12.5
"station_42",12.5,12.5
"station_43",13,12.5
"station_44",13.5,12.5
"station_45",14,12.5
"station_46",4,12
"station_47",4.5,12
"station_48",5,12
"station_49",5.5,12
"station_50",6,12
"station_51",6.5,12
"station_52",7,12
"station_53",7.5,12
"station_54",8,12
"station_55",8.5,12
"station_56",9,12
"station_57",9.5,12
"station_58",10,12
"station_59",10.5,12
"station_60",11,12
"station_61",11.5,12
"station_62",12,12
"station_63",12.5,12
"station_64",13,12
"station_65",13.5,12
"station_66",14,12
"station_67",14.5,12
"station_68",4,11.5
"station_69",4.5,11.5
"station_70",5,11.5
"station_71",5.5,11.5
"station_72",6,11.5
"station_73",6.5,11.5
"station_74",7,11.5
"station_75",7.5,11.5
"station_76",8,11.5
"station_77",8.5,11.5
"station_78",9,11.5
"station_79",9.5,11.5
"station_80",10,11.5
"station_81",10.5,11.5
"station_82",11,11.5
"station_83",11.5,11.5
"station_84",12,11.5
"station_85",12.5,11.5
"station_86",13,11.5
"station_87",13.5,11.5
"station_88",14,11.5
"station_89",14.5,11.5
"station_90",4,11
"station_91",4.5,11
"station_92",5,11
"station_93",5.5,11
"station_94",6,11
"station_95",6.5,11
"station_96",7,11
"station_97",7.5,11
"station_98",8,11
"station_99",8.5,11
"station_100",9,11
"station_101",9.5,11
"station_102",10,11
"station_103",10.5,11
"station_104",11,11
"station_105",11.5,11
"station_106",12,11
"station_107",12.5,11
"station_108",13,11
"station_109",13.5,11
"station_110",4,10.5
"station_111",4.5,10.5
"station_112",5,10.5
"station_113",5.5,10.5
"station_114",6,10.5
"station_115",6.5,10.5
"station_116",7,10.5
"station_117",7.5,10.5
"station_118",8,10.5
"station_119",8.5,10.5
"station_120",9,10.5
"station_121",9.5,10.5
"station_122",10,10.5
"station_123",10.5,10.5
"station_124",11,10.5
"station_125",11.5,10.5
"station_126",12,10.5
"station_127",12.5,10.5
"station_128",13,10.5
"station_129",13.5,10.5
"station_130",4,10
"station_131",4.5,10
"station_132",5,10
"station_133",5.5,10
"station_134",6,10
"station_135",6.5,10
"station_136",7,10
"station_137",7.5,10
"station_138",8,10
"station_139",8.5,10
"station_140",9,10
"station_141",9.5,10
"station_142",10,10
"station_143",10.5,10
"station_144",11,10
"station_145",11.5,10
"station_146",12,10
"station_147",12.5,10
"station_148",13,10
"station_149",3.5,9.5
"station_150",4,9.5
"station_151",4.5,9.5
"station_152",5,9.5
"station_153",5.5,9.5
"station_154",6,9.5
"station_155",6.5,9.5
"station_156",7,9.5
"station_157",7.5,9.5
"station_158",8,9.5
"station_159",8.5,9.5
"station_160",9,9.5
"station_161",9.5,9.5
"station_162",10,9.5
"station_163",10.5,9.5
"station_164",11,9.5
"station_165",11.5,9.5
"station_166",12,9.5
"station_167",12.5,9.5
"station_168",13,9.5
"station_169",3,9
"station_170",3.5,9
"station_171",4,9
"station_172",4.5,9
"station_173",5,9
"station_174",5.5,9
"station_175",6,9
"station_176",6.5,9
"station_177",7,9
"station_178",7.5,9
"station_179",8,9
"station_180",8.5,9
"station_181",9,9
"station_182",9.5,9
"station_183",10,9
"station_184",10.5,9
"station_185",11,9
"station_186",11.5,9
"station_187",12,9
"station_188",12.5,9
"station_189",3,8.5
"station_190",3.5,8.5
"station_191",4,8.5
"station_192",4.5,8.5
"station_193",5,8.5
"station_194",5.5,8.5
"station_195",6,8.5
"station_196",6.5,8.5
"station_197",7,8.5
"station_198",7.5,8.5
"station_199",8,8.5
"station_200",8.5,8.5
"station_201",9,8.5
"station_202",9.5,8.5
"station_203",10,8.5
"station_204",10.5,8.5
"station_205",11,8.5
"station_206",11.5,8.5
"station_207",12,8.5
"station_208",3,8
"station_209",3.5,8
"station_210",4,8
"station_211",4.5,8
"station_212",5,8
"station_213",5.5,8
"station_214",6,8
"station_215",6.5,8
"station_216",7,8
"station_217",7.5,8
"station_218",8,8
"station_219",8.5,8
"station_220",9,8
"station_221",9.5,8
"station_222",10,8
"station_223",10.5,8
"station_224",11,8
"station_225",11.5,8
"station_226",12,8
"station_227",3,7.5
"station_228",3.5,7.5
"station_229",4,7.5
"station_230",4.5,7.5
"station_231",5,7.5
"station_232",5.5,7.5
"station_233",6,7.5
"station_234",6.5,7.5
"station_235",7,7.5
"station_236",7.5,7.5
"station_237",8,7.5
"station_238",8.5,7.5
"station_239",9,7.5
"station_240",9.5,7.5
"station_241",10,7.5
"station_242",10.5,7.5
"station_243",11,7.5
"station_244",11.5,7.5
"station_245",3,7
"station_246",3.5,7
"station_247",4,7
"station_248",4.5,7
"station_249",5,7
"station_250",5.5,7
"station_251",6,7
"station_252",6.5,7
"station_253",7,7
"station_254",7.5,7
"station_255",8,7
"station_256",8.5,7
"station_257",9,7
"station_258",9.5,7
"station_259",10,7
"station_260",10.5,7
"station_261",11,7
"station_262",11.5,7
"station_263",3,6.5
"station_264",3.5,6.5
"station_265",4,6.5
"station_266",4.5,6.5
"station_267",5,6.5
"station_268",5.5,6.5
"station_269",6,6.5
"station_270",6.5,6.5
"station_271",7,6.5
"station_272",7.5,6.5
"station_273",8,6.5
"station_274",8.5,6.5
"station_275",9,6.5
"station_276",9.5,6.5
"station_277",5,6
"station_278",5.5,6
"station_279",6,6
"station_280",6.5,6
"station_281",7,6
"station_282",7.5,6
"station_283",8,6
"station_284",8.5,6
"station_285",9,6
"station_286",5.5,5.5
"station_287",6,5.5
"station_288",6.5,5.5
"station_289",7,5.5
"station_290",7.5,5.5
"station_291",8,5.5
"station_292",8.5,5.5
"station_293",5.5,5
"station_294",6,5
"station_295",6.5,5
"station_296",7,5
"station_297",7.5,5
"station_298",8,5
"station_299",8.5,5
"station_300",6,4.5
"station_301",6.5,4.5
"station_302",7,4.5
"station_303",7.5,4.5
