"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"1",4,4.5,13.5,0,4.5,13.5,TRUE
"2",5,5,13.5,0,5,13.5,TRUE
"3",6,5.5,13.5,0,5.5,13.5,TRUE
"4",7,6,13.5,0,6,13.5,TRUE
"5",8,6.5,13.5,0,6.5,13.5,TRUE
"6",21,13,13.5,0,13,13.5,TRUE
"7",22,13.5,13.5,0,13.5,13.5,TRUE
"8",28,4.5,13,0,4.5,13,TRUE
"9",29,5,13,0,5,13,TRUE
"10",30,5.5,13,0,5.5,13,TRUE
"11",31,6,13,0,6,13,TRUE
"12",32,6.5,13,0,6.5,13,TRUE
"13",34,7.5,13,0,7.5,13,TRUE
"14",35,8,13,0,8,13,TRUE
"15",36,8.5,13,0,8.5,13,TRUE
"16",39,10,13,0,10,13,TRUE
"17",40,10.5,13,0,10.5,13,TRUE
"18",41,11,13,0,11,13,TRUE
"19",42,11.5,13,0,11.5,13,TRUE
"20",43,12,13,0,12,13,TRUE
"21",44,12.5,13,0,12.5,13,TRUE
"22",45,13,13,0,13,13,TRUE
"23",46,13.5,13,0,13.5,13,TRUE
"24",47,14,13,0,14,13,TRUE
"25",51,4,12.5,0,4,12.5,TRUE
"26",52,4.5,12.5,0,4.5,12.5,TRUE
"27",53,5,12.5,0,5,12.5,TRUE
"28",54,5.5,12.5,0,5.5,12.5,TRUE
"29",55,6,12.5,0,6,12.5,TRUE
"30",56,6.5,12.5,0,6.5,12.5,TRUE
"31",57,7,12.5,0,7,12.5,TRUE
"32",58,7.5,12.5,0,7.5,12.5,TRUE
"33",59,8,12.5,0,8,12.5,TRUE
"34",60,8.5,12.5,0,8.5,12.5,TRUE
"35",61,9,12.5,0,9,12.5,TRUE
"36",62,9.5,12.5,0,9.5,12.5,TRUE
"37",63,10,12.5,0,10,12.5,TRUE
"38",64,10.5,12.5,0,10.5,12.5,TRUE
"39",65,11,12.5,0,11,12.5,TRUE
"40",66,11.5,12.5,0,11.5,12.5,TRUE
"41",67,12,12.5,0,12,12.5,TRUE
"42",68,12.5,12.5,0,12.5,12.5,TRUE
"43",69,13,12.5,0,13,12.5,TRUE
"44",70,13.5,12.5,0,13.5,12.5,TRUE
"45",71,14,12.5,0,14,12.5,TRUE
"46",75,4,12,0,4,12,TRUE
"47",76,4.5,12,0,4.5,12,TRUE
"48",77,5,12,0,5,12,TRUE
"49",78,5.5,12,0,5.5,12,TRUE
"50",79,6,12,0,6,12,TRUE
"51",80,6.5,12,0,6.5,12,TRUE
"52",81,7,12,0,7,12,TRUE
"53",82,7.5,12,0,7.5,12,TRUE
"54",83,8,12,0,8,12,TRUE
"55",84,8.5,12,0,8.5,12,TRUE
"56",85,9,12,0,9,12,TRUE
"57",86,9.5,12,0,9.5,12,TRUE
"58",87,10,12,0,10,12,TRUE
"59",88,10.5,12,0,10.5,12,TRUE
"60",89,11,12,0,11,12,TRUE
"61",90,11.5,12,0,11.5,12,TRUE
"62",91,12,12,0,12,12,TRUE
"63",92,12.5,12,0,12.5,12,TRUE
"64",93,13,12,0,13,12,TRUE
"65",94,13.5,12,0,13.5,12,TRUE
"66",95,14,12,0,14,12,TRUE
"67",96,14.5,12,0,14.5,12,TRUE
"68",99,4,11.5,0,4,11.5,TRUE
"69",100,4.5,11.5,0,4.5,11.5,TRUE
"70",101,5,11.5,0,5,11.5,TRUE
"71",102,5.5,11.5,0,5.5,11.5,TRUE
"72",103,6,11.5,0,6,11.5,TRUE
"73",104,6.5,11.5,0,6.5,11.5,TRUE
"74",105,7,11.5,0,7,11.5,TRUE
"75",106,7.5,11.5,0,7.5,11.5,TRUE
"76",107,8,11.5,0,8,11.5,TRUE
"77",108,8.5,11.5,0,8.5,11.5,TRUE
"78",109,9,11.5,0,9,11.5,TRUE
"79",110,9.5,11.5,0,9.5,11.5,TRUE
"80",111,10,11.5,0,10,11.5,TRUE
"81",112,10.5,11.5,0,10.5,11.5,TRUE
"82",113,11,11.5,0,11,11.5,TRUE
"83",114,11.5,11.5,0,11.5,11.5,TRUE
"84",115,12,11.5,0,12,11.5,TRUE
"85",116,12.5,11.5,0,12.5,11.5,TRUE
"86",117,13,11.5,0,13,11.5,TRUE
"87",118,13.5,11.5,0,13.5,11.5,TRUE
"88",119,14,11.5,0,14,11.5,TRUE
"89",120,14.5,11.5,0,14.5,11.5,TRUE
