"id_station","lon","lat"
"station_1",35.5,23
"station_2",35,22.5
"station_3",35.5,22.5
"station_4",36,22.5
"station_5",25,22
"station_6",34.5,22
"station_7",35,22
"station_8",35.5,22
"station_9",36,22
"station_10",36.5,22
"station_11",25,21.5
"station_12",25.5,21.5
"station_13",26,21.5
"station_14",26.5,21.5
"station_15",27,21.5
"station_16",27.5,21.5
"station_17",28,21.5
"station_18",28.5,21.5
"station_19",29,21.5
"station_20",29.5,21.5
"station_21",30,21.5
"station_22",30.5,21.5
"station_23",31,21.5
"station_24",31.5,21.5
"station_25",32,21.5
"station_26",32.5,21.5
"station_27",33,21.5
"station_28",33.5,21.5
"station_29",34,21.5
"station_30",34.5,21.5
"station_31",35,21.5
"station_32",35.5,21.5
"station_33",36,21.5
"station_34",36.5,21.5
"station_35",25,21
"station_36",25.5,21
"station_37",26,21
"station_38",26.5,21
"station_39",27,21
"station_40",27.5,21
"station_41",28,21
"station_42",28.5,21
"station_43",29,21
"station_44",29.5,21
"station_45",30,21
"station_46",30.5,21
"station_47",31,21
"station_48",31.5,21
"station_49",32,21
"station_50",32.5,21
"station_51",33,21
"station_52",33.5,21
"station_53",34,21
"station_54",34.5,21
"station_55",35,21
"station_56",35.5,21
"station_57",36,21
"station_58",36.5,21
"station_59",37,21
"station_60",25,20.5
"station_61",25.5,20.5
"station_62",26,20.5
"station_63",26.5,20.5
"station_64",27,20.5
"station_65",27.5,20.5
"station_66",28,20.5
"station_67",28.5,20.5
"station_68",29,20.5
"station_69",29.5,20.5
"station_70",30,20.5
"station_71",30.5,20.5
"station_72",31,20.5
"station_73",31.5,20.5
"station_74",32,20.5
"station_75",32.5,20.5
"station_76",33,20.5
"station_77",33.5,20.5
"station_78",34,20.5
"station_79",34.5,20.5
"station_80",35,20.5
"station_81",35.5,20.5
"station_82",36,20.5
"station_83",36.5,20.5
"station_84",37,20.5
"station_85",25.5,20
"station_86",26,20
"station_87",26.5,20
"station_88",27,20
"station_89",27.5,20
"station_90",28,20
"station_91",28.5,20
"station_92",29,20
"station_93",29.5,20
"station_94",30,20
"station_95",30.5,20
"station_96",31,20
"station_97",31.5,20
"station_98",32,20
"station_99",32.5,20
"station_100",33,20
"station_101",33.5,20
"station_102",34,20
"station_103",34.5,20
"station_104",35,20
"station_105",35.5,20
"station_106",36,20
"station_107",36.5,20
"station_108",37,20
"station_109",24,19.5
"station_110",24.5,19.5
"station_111",25,19.5
"station_112",25.5,19.5
"station_113",26,19.5
"station_114",26.5,19.5
"station_115",27,19.5
"station_116",27.5,19.5
"station_117",28,19.5
"station_118",28.5,19.5
"station_119",29,19.5
"station_120",29.5,19.5
"station_121",30,19.5
"station_122",30.5,19.5
"station_123",31,19.5
"station_124",31.5,19.5
"station_125",32,19.5
"station_126",32.5,19.5
"station_127",33,19.5
"station_128",33.5,19.5
"station_129",34,19.5
"station_130",34.5,19.5
"station_131",35,19.5
"station_132",35.5,19.5
"station_133",36,19.5
"station_134",36.5,19.5
"station_135",37,19.5
"station_136",24,19
"station_137",24.5,19
"station_138",25,19
"station_139",25.5,19
"station_140",26,19
"station_141",26.5,19
"station_142",27,19
"station_143",27.5,19
"station_144",28,19
"station_145",28.5,19
"station_146",29,19
"station_147",29.5,19
"station_148",30,19
"station_149",30.5,19
"station_150",31,19
"station_151",31.5,19
"station_152",32,19
"station_153",32.5,19
"station_154",33,19
"station_155",33.5,19
"station_156",34,19
"station_157",34.5,19
"station_158",35,19
"station_159",35.5,19
"station_160",36,19
"station_161",36.5,19
"station_162",37,19
"station_163",24,18.5
"station_164",24.5,18.5
"station_165",25,18.5
"station_166",25.5,18.5
"station_167",26,18.5
"station_168",26.5,18.5
"station_169",27,18.5
"station_170",27.5,18.5
"station_171",28,18.5
"station_172",28.5,18.5
"station_173",29,18.5
"station_174",29.5,18.5
"station_175",30,18.5
"station_176",30.5,18.5
"station_177",31,18.5
"station_178",31.5,18.5
"station_179",32,18.5
"station_180",32.5,18.5
"station_181",33,18.5
"station_182",33.5,18.5
"station_183",34,18.5
"station_184",34.5,18.5
"station_185",35,18.5
"station_186",35.5,18.5
"station_187",36,18.5
"station_188",36.5,18.5
"station_189",37,18.5
"station_190",37.5,18.5
"station_191",38,18.5
"station_192",24,18
"station_193",24.5,18
"station_194",25,18
"station_195",25.5,18
"station_196",26,18
"station_197",26.5,18
"station_198",27,18
"station_199",27.5,18
"station_200",28,18
"station_201",28.5,18
"station_202",29,18
"station_203",29.5,18
"station_204",30,18
"station_205",30.5,18
"station_206",31,18
"station_207",31.5,18
"station_208",32,18
"station_209",32.5,18
"station_210",33,18
"station_211",33.5,18
"station_212",34,18
"station_213",34.5,18
"station_214",35,18
"station_215",35.5,18
"station_216",36,18
"station_217",36.5,18
"station_218",37,18
"station_219",37.5,18
"station_220",38,18
"station_221",38.5,18
"station_222",24,17.5
"station_223",24.5,17.5
"station_224",25,17.5
"station_225",25.5,17.5
"station_226",26,17.5
"station_227",26.5,17.5
"station_228",27,17.5
"station_229",27.5,17.5
"station_230",28,17.5
"station_231",28.5,17.5
"station_232",29,17.5
"station_233",29.5,17.5
"station_234",30,17.5
"station_235",30.5,17.5
"station_236",31,17.5
"station_237",31.5,17.5
"station_238",32,17.5
"station_239",32.5,17.5
"station_240",33,17.5
"station_241",33.5,17.5
"station_242",34,17.5
"station_243",34.5,17.5
"station_244",35,17.5
"station_245",35.5,17.5
"station_246",36,17.5
"station_247",36.5,17.5
"station_248",37,17.5
"station_249",37.5,17.5
"station_250",24,17
"station_251",24.5,17
"station_252",25,17
"station_253",25.5,17
"station_254",26,17
"station_255",26.5,17
"station_256",27,17
"station_257",27.5,17
"station_258",28,17
"station_259",28.5,17
"station_260",29,17
"station_261",29.5,17
"station_262",30,17
"station_263",30.5,17
"station_264",31,17
"station_265",31.5,17
"station_266",32,17
"station_267",32.5,17
"station_268",33,17
"station_269",33.5,17
"station_270",34,17
"station_271",34.5,17
"station_272",35,17
"station_273",35.5,17
"station_274",36,17
"station_275",36.5,17
"station_276",24,16.5
"station_277",24.5,16.5
"station_278",25,16.5
"station_279",25.5,16.5
"station_280",26,16.5
"station_281",26.5,16.5
"station_282",27,16.5
"station_283",27.5,16.5
"station_284",28,16.5
"station_285",28.5,16.5
"station_286",29,16.5
"station_287",29.5,16.5
"station_288",30,16.5
"station_289",30.5,16.5
"station_290",31,16.5
"station_291",31.5,16.5
"station_292",32,16.5
"station_293",32.5,16.5
"station_294",33,16.5
"station_295",33.5,16.5
"station_296",34,16.5
"station_297",34.5,16.5
"station_298",35,16.5
"station_299",35.5,16.5
"station_300",36,16.5
"station_301",36.5,16.5
"station_302",24,16
"station_303",24.5,16
"station_304",25,16
"station_305",25.5,16
"station_306",26,16
"station_307",26.5,16
"station_308",27,16
"station_309",27.5,16
"station_310",28,16
"station_311",28.5,16
"station_312",29,16
"station_313",29.5,16
"station_314",30,16
"station_315",30.5,16
"station_316",31,16
"station_317",31.5,16
"station_318",32,16
"station_319",32.5,16
"station_320",33,16
"station_321",33.5,16
"station_322",34,16
"station_323",34.5,16
"station_324",35,16
"station_325",35.5,16
"station_326",36,16
"station_327",36.5,16
"station_328",23,15.5
"station_329",23.5,15.5
"station_330",24,15.5
"station_331",24.5,15.5
"station_332",25,15.5
"station_333",25.5,15.5
"station_334",26,15.5
