"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"1",28,35.5,23,0,35.5,23,TRUE
"2",61,35,22.5,0,35,22.5,TRUE
"3",62,35.5,22.5,0,35.5,22.5,TRUE
"4",63,36,22.5,0,36,22.5,TRUE
"5",75,25,22,0.4,25,22,TRUE
"6",94,34.5,22,0,34.5,22,TRUE
"7",95,35,22,0,35,22,TRUE
"8",96,35.5,22,0,35.5,22,TRUE
"9",97,36,22,0,36,22,TRUE
"10",98,36.5,22,0,36.5,22,TRUE
"11",109,25,21.5,0.3,25,21.5,TRUE
"12",110,25.5,21.5,0.5,25.5,21.5,TRUE
"13",111,26,21.5,0.2,26,21.5,TRUE
"14",112,26.5,21.5,0,26.5,21.5,TRUE
"15",113,27,21.5,0,27,21.5,TRUE
"16",114,27.5,21.5,0,27.5,21.5,TRUE
"17",115,28,21.5,0,28,21.5,TRUE
"18",116,28.5,21.5,0,28.5,21.5,TRUE
"19",117,29,21.5,0,29,21.5,TRUE
"20",118,29.5,21.5,0,29.5,21.5,TRUE
"21",119,30,21.5,0,30,21.5,TRUE
"22",120,30.5,21.5,0,30.5,21.5,TRUE
"23",121,31,21.5,0,31,21.5,TRUE
"24",122,31.5,21.5,0,31.5,21.5,TRUE
"25",123,32,21.5,0,32,21.5,TRUE
"26",124,32.5,21.5,0,32.5,21.5,TRUE
"27",125,33,21.5,0,33,21.5,TRUE
"28",126,33.5,21.5,0,33.5,21.5,TRUE
"29",127,34,21.5,0,34,21.5,TRUE
"30",128,34.5,21.5,0,34.5,21.5,TRUE
"31",129,35,21.5,0,35,21.5,TRUE
"32",130,35.5,21.5,0,35.5,21.5,TRUE
"33",131,36,21.5,0,36,21.5,TRUE
"34",132,36.5,21.5,0,36.5,21.5,TRUE
"35",143,25,21,0.4,25,21,TRUE
"36",144,25.5,21,0.3,25.5,21,TRUE
"37",145,26,21,0,26,21,TRUE
"38",146,26.5,21,0,26.5,21,TRUE
"39",147,27,21,0,27,21,TRUE
"40",148,27.5,21,0,27.5,21,TRUE
"41",149,28,21,0,28,21,TRUE
"42",150,28.5,21,0,28.5,21,TRUE
"43",151,29,21,0,29,21,TRUE
"44",152,29.5,21,0,29.5,21,TRUE
