"id_station","lon","lat"
"station_1",9,37
"station_2",9.5,37
"station_3",10,37
"station_4",11,37
"station_5",8.5,36.5
"station_6",9,36.5
"station_7",9.5,36.5
"station_8",10,36.5
"station_9",10.5,36.5
"station_10",8.5,36
"station_11",9,36
"station_12",9.5,36
"station_13",10,36
"station_14",10.5,36
"station_15",8.5,35.5
"station_16",9,35.5
"station_17",9.5,35.5
"station_18",10,35.5
"station_19",10.5,35.5
"station_20",11,35.5
"station_21",8.5,35
"station_22",9,35
"station_23",9.5,35
"station_24",10,35
"station_25",10.5,35
"station_26",8.5,34.5
"station_27",9,34.5
"station_28",9.5,34.5
"station_29",10,34.5
"station_30",8,34
"station_31",8.5,34
"station_32",9,34
"station_33",9.5,34
"station_34",10,34
"station_35",8,33.5
"station_36",8.5,33.5
"station_37",9,33.5
"station_38",9.5,33.5
"station_39",10,33.5
"station_40",10.5,33.5
"station_41",11,33.5
"station_42",8.5,33
"station_43",9,33
"station_44",9.5,33
"station_45",10,33
"station_46",10.5,33
"station_47",11,33
"station_48",11.5,33
"station_49",8.5,32.5
"station_50",9,32.5
"station_51",9.5,32.5
"station_52",10,32.5
"station_53",10.5,32.5
"station_54",11,32.5
"station_55",11.5,32.5
"station_56",9.5,32
"station_57",10,32
"station_58",10.5,32
"station_59",9.5,31.5
"station_60",10,31.5
"station_61",9.5,31
"station_62",10,31
"station_63",10,30.5
