"id_station","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"station_1",1970,53.4,62.8,64.5,57.9,43.4,1.1,2.6,1.4,14.2,93.8,10.5,128.6
"station_1",1971,83.2,182.9,91.1,100.8,30.4,15.6,4.3,6.4,90.5,123.3,32.2,24
"station_1",1972,96.8,138.3,55.3,124.1,27.2,41,3.2,10.5,81,71.6,6.1,56.8
"station_1",1973,169.5,137.6,227.7,50.2,2.7,17.2,19.5,20.4,35.2,105.8,22.5,58.3
"station_1",1974,20.3,111.5,72.9,99.8,8.6,7.1,5.2,4,41.1,117.1,58.3,66.5
"station_1",1975,35.3,192.8,74.6,28.6,73.3,5.5,0.173834891524166,47.5,3.4,21.5,128.9,57.7
"station_1",1976,45.4,110.8,125.7,48.2,91.5,28.2,34.1,31.4,44.4,35.1,163.7,40.9
"station_1",1977,62,52.6,28,85.1,31.6,52.3,2.6,34.3,9.9,15.4,83.2,25.8
"station_1",1978,96.3,173.3,68.1,86.3,31.8,7.5,0.459865140495822,6.4,10.1,67.8,50.7,32.9
"station_1",1979,71.9,195.3,49.4,155,35.6,25.7,2.8,16.4,66,41.2,48.2,16.9
"station_1",1980,40.2,83.9,90.4,80.9,57.1,7.5,0.681462458800524,5.7,36.8,66.1,95.1,30.1
"station_1",1981,90.9,81.6,53.7,46.8,32,34.8,23.8,12.1,7.4,30.4,45.2,79.2
"station_1",1982,88.7,126.9,118.6,103.2,50.9,0.7,0.1,38.1,28.4,90.7,145.8,115.1
"station_1",1983,11.4,32.4,106.3,10.1,19.1,13.4,0.555585741298273,0.3,68.4,112.1,91.8,72.8
"station_1",1984,113.8,172,110.1,48.2,21.2,17.2,0.304887259379029,1.9,69.3,94.9,41.4,265.3
"station_1",1985,129.3,104.8,75,28.3,46.7,0.1,0.353918308624998,0.178567063761875,27.6,15.7,36.4,61.5
"station_1",1986,88.5,82.5,63.9,69.9,9.6,8.2,14.6,0.2,61.3,75.4,84.3,89.2
"station_1",1987,100.3,114.8,79.5,55.8,53.7,1.1,1.4,2.5,15.6,18.1,82.9,25
