"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"1",3,9,37,53.4,9,37,TRUE
"2",4,9.5,37,62.4,9.5,37,TRUE
"3",5,10,37,57.1,10,37,TRUE
"4",7,11,37,42.6,11,37,TRUE
"5",10,8.5,36.5,40.1,8.5,36.5,TRUE
"6",11,9,36.5,48.5,9,36.5,TRUE
"7",12,9.5,36.5,40.2,9.5,36.5,TRUE
"8",13,10,36.5,37.2,10,36.5,TRUE
"9",14,10.5,36.5,33.5,10.5,36.5,TRUE
"10",18,8.5,36,31.9,8.5,36,TRUE
"11",19,9,36,39.5,9,36,TRUE
"12",20,9.5,36,32.9,9.5,36,TRUE
"13",21,10,36,23.3,10,36,TRUE
"14",22,10.5,36,17.6,10.5,36,TRUE
"15",26,8.5,35.5,27.2,8.5,35.5,TRUE
"16",27,9,35.5,31.7,9,35.5,TRUE
"17",28,9.5,35.5,25.1,9.5,35.5,TRUE
"18",29,10,35.5,18.8,10,35.5,TRUE
"19",30,10.5,35.5,14,10.5,35.5,TRUE
"20",31,11,35.5,18.2,11,35.5,TRUE
"21",34,8.5,35,21.7,8.5,35,TRUE
"22",35,9,35,22.2,9,35,TRUE
"23",36,9.5,35,18.4,9.5,35,TRUE
"24",37,10,35,14.8,10,35,TRUE
"25",38,10.5,35,12.6,10.5,35,TRUE
"26",42,8.5,34.5,16.4,8.5,34.5,TRUE
"27",43,9,34.5,18.7,9,34.5,TRUE
"28",44,9.5,34.5,15.4,9.5,34.5,TRUE
"29",45,10,34.5,12.4,10,34.5,TRUE
"30",49,8,34,14.8,8,34,TRUE
"31",50,8.5,34,18.3,8.5,34,TRUE
"32",51,9,34,19.5,9,34,TRUE
"33",52,9.5,34,20,9.5,34,TRUE
"34",53,10,34,15.1,10,34,TRUE
"35",57,8,33.5,14.3,8,33.5,TRUE
"36",58,8.5,33.5,15.7,8.5,33.5,TRUE
"37",59,9,33.5,15.2,9,33.5,TRUE
"38",60,9.5,33.5,17.1,9.5,33.5,TRUE
"39",61,10,33.5,16,10,33.5,TRUE
"40",62,10.5,33.5,15.4,10.5,33.5,TRUE
"41",63,11,33.5,13.1,11,33.5,TRUE
"42",66,8.5,33,10,8.5,33,TRUE
"43",67,9,33,10.3,9,33,TRUE
"44",68,9.5,33,12,9.5,33,TRUE
"45",69,10,33,12.2,10,33,TRUE
"46",70,10.5,33,12.5,10.5,33,TRUE
"47",71,11,33,10.6,11,33,TRUE
"48",72,11.5,33,8.5,11.5,33,TRUE
"49",74,8.5,32.5,6.1,8.5,32.5,TRUE
"50",75,9,32.5,6.4,9,32.5,TRUE
"51",76,9.5,32.5,8.5,9.5,32.5,TRUE
"52",77,10,32.5,8,10,32.5,TRUE
"53",78,10.5,32.5,8.6,10.5,32.5,TRUE
"54",79,11,32.5,7.4,11,32.5,TRUE
"55",80,11.5,32.5,5.5,11.5,32.5,TRUE
"56",84,9.5,32,5.1,9.5,32,TRUE
"57",85,10,32,4.7,10,32,TRUE
"58",86,10.5,32,4.9,10.5,32,TRUE
"59",92,9.5,31.5,2.4,9.5,31.5,TRUE
"60",93,10,31.5,2.9,10,31.5,TRUE
"61",100,9.5,31,1,9.5,31,TRUE
"62",101,10,31,1,10,31,TRUE
"63",109,10,30.5,0,10,30.5,TRUE
