"id_station","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"station_1",1970,65.8,9.5,119.2,81.1,122.2,43.6,121.4,279.1,154,20.1,22.7,29.7
"station_1",1971,2.7,0.4,2.1,141.3,112.5,110.7,101.7,150.3,119.8,36.6,28.1,12.1
"station_1",1972,7,20,12.7,71.2,118.4,121.8,90,58.7,54.2,111.5,142.8,12.9
"station_1",1973,8.5,6.3,2.7,23,140.1,98.1,88.4,150.2,124.5,27.1,31.7,1.8
"station_1",1974,3.6,0.1,43.6,89.7,136.1,66.5,60.5,186.6,94.6,56.4,16.6,27.3
"station_1",1975,0.863082272466272,14.9,69.5,196.4,92.4,120.7,172,284.1,141.2,93.1,8.6,15.7
"station_1",1976,2.7,34.2,27,89.7,193.8,117.9,147.1,157.7,78.4,42.6,35.7,1.4
"station_1",1977,28.9,8.8,32,99.9,188.3,129.4,147.5,124.6,35.3,218.7,62.9,6.8
"station_1",1978,29.7,59,157.8,37.5,87,231.7,201,129,98.8,57.3,89.5,12.9
"station_1",1979,24.1,51,57.3,58.5,81.7,79.1,112,72.5,64.1,0.6,26.4,38.5
"station_1",1980,0.0776477339677513,5.3,14.8,101.1,123.2,43.4,43.6,25.1,19.8,18.7,82.6,0.716374361421913
"station_1",1981,0.37208328419365,8.9,175.3,88.3,78.2,77.3,219.1,148.5,171.3,24.9,21.2,7.2
"station_1",1982,24,22.6,70,103,190.5,127.3,85.8,162.5,69.1,110.2,103.5,29.7
"station_1",1983,15.2,33.6,9.9,83.1,44.3,77.1,84.7,138,122.2,60.2,28.5,2.9
"station_1",1984,0.353416418423876,4,9.2,47.5,51.1,76,78.4,41.8,25.8,11.6,26.6,18.8
"station_1",1985,36.3,0.1,62.2,86.7,80.5,88,77.8,43,60,9.9,52.7,2.6
"station_1",1986,4.1,25.4,62.5,77.8,44,272.3,71.1,56.6,32.5,33.5,22.5,7.5
"station_1",1987,0.772270980058238,11.4,45,101.3,119.9,105.2,20.7,40.6,31.4,28.6,54,8
