"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"1",9,34,4,65.8,34,4,TRUE
"2",14,31,3.5,31.2,31,3.5,TRUE
"3",15,31.5,3.5,20.8,31.5,3.5,TRUE
"4",16,32,3.5,26.9,32,3.5,TRUE
"5",17,32.5,3.5,49.5,32.5,3.5,TRUE
"6",18,33,3.5,72.8,33,3.5,TRUE
"7",19,33.5,3.5,74.3,33.5,3.5,TRUE
"8",20,34,3.5,62.4,34,3.5,TRUE
"9",25,31,3,56.3,31,3,TRUE
"10",26,31.5,3,18.9,31.5,3,TRUE
"11",27,32,3,14.3,32,3,TRUE
"12",28,32.5,3,15.4,32.5,3,TRUE
"13",29,33,3,48.8,33,3,TRUE
"14",30,33.5,3,59.4,33.5,3,TRUE
"15",31,34,3,49.6,34,3,TRUE
"16",32,34.5,3,48.5,34.5,3,TRUE
"17",36,31,2.5,51.9,31,2.5,TRUE
"18",37,31.5,2.5,16.5,31.5,2.5,TRUE
"19",38,32,2.5,18.8,32,2.5,TRUE
"20",39,32.5,2.5,33.1,32.5,2.5,TRUE
"21",40,33,2.5,42.7,33,2.5,TRUE
"22",41,33.5,2.5,46.1,33.5,2.5,TRUE
"23",42,34,2.5,50.7,34,2.5,TRUE
"24",43,34.5,2.5,52.5,34.5,2.5,TRUE
"25",48,31.5,2,34,31.5,2,TRUE
"26",49,32,2,71.2,32,2,TRUE
"27",50,32.5,2,70.3,32.5,2,TRUE
"28",51,33,2,62.1,33,2,TRUE
"29",52,33.5,2,47.3,33.5,2,TRUE
"30",53,34,2,49,34,2,TRUE
"31",54,34.5,2,56.3,34.5,2,TRUE
"32",58,31,1.5,39.9,31,1.5,TRUE
"33",59,31.5,1.5,53.1,31.5,1.5,TRUE
"34",60,32,1.5,70.7,32,1.5,TRUE
"35",61,32.5,1.5,84.9,32.5,1.5,TRUE
"36",62,33,1.5,87.4,33,1.5,TRUE
"37",63,33.5,1.5,76.6,33.5,1.5,TRUE
"38",64,34,1.5,142.4,34,1.5,TRUE
"39",65,34.5,1.5,108.1,34.5,1.5,TRUE
"40",68,30.5,1,49.6,30.5,1,TRUE
"41",69,31,1,68.1,31,1,TRUE
"42",70,31.5,1,65.5,31.5,1,TRUE
"43",71,32,1,48.6,32,1,TRUE
"44",72,32.5,1,89,32.5,1,TRUE
"45",73,33,1,130.6,33,1,TRUE
"46",74,33.5,1,166.4,33.5,1,TRUE
"47",75,34,1,152.6,34,1,TRUE
"48",78,30,0.5,76.3,30,0.5,TRUE
"49",79,30.5,0.5,93,30.5,0.5,TRUE
"50",80,31,0.5,88.4,31,0.5,TRUE
"51",81,31.5,0.5,74.9,31.5,0.5,TRUE
"52",82,32,0.5,55.2,32,0.5,TRUE
"53",83,32.5,0.5,120.8,32.5,0.5,TRUE
"54",84,33,0.5,137.1,33,0.5,TRUE
"55",85,33.5,0.5,136.1,33.5,0.5,TRUE
"56",86,34,0.5,149.8,34,0.5,TRUE
"57",89,30,0,67,30,0,TRUE
"58",90,30.5,0,92.1,30.5,0,TRUE
"59",91,31,0,101,31,0,TRUE
"60",92,31.5,0,154.7,31.5,0,TRUE
"61",93,32,0,156.8,32,0,TRUE
"62",94,32.5,0,165.9,32.5,0,TRUE
"63",95,33,0,106.7,33,0,TRUE
"64",96,33.5,0,154.4,33.5,0,TRUE
"65",100,30,-0.5,78.2,30,-0.5,TRUE
"66",101,30.5,-0.5,50.9,30.5,-0.5,TRUE
"67",102,31,-0.5,83.1,31,-0.5,TRUE
"68",103,31.5,-0.5,141.8,31.5,-0.5,TRUE
"69",104,32,-0.5,227,32,-0.5,TRUE
"70",105,32.5,-0.5,91.6,32.5,-0.5,TRUE
"71",106,33,-0.5,97.3,33,-0.5,TRUE
"72",107,33.5,-0.5,102.7,33.5,-0.5,TRUE
"73",111,30,-1,116.6,30,-1,TRUE
"74",112,30.5,-1,76.3,30.5,-1,TRUE
