"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"1",26,29,-22.5,3.6,29,-22.5,TRUE
"2",27,29.5,-22.5,0.3,29.5,-22.5,TRUE
"3",28,30,-22.5,0.3,30,-22.5,TRUE
"4",29,30.5,-22.5,6.7,30.5,-22.5,TRUE
"5",30,31,-22.5,18.3,31,-22.5,TRUE
"6",57,28,-23,3.6,28,-23,TRUE
"7",58,28.5,-23,8.9,28.5,-23,TRUE
"8",59,29,-23,12.1,29,-23,TRUE
"9",60,29.5,-23,10.7,29.5,-23,TRUE
"10",61,30,-23,6.6,30,-23,TRUE
"11",62,30.5,-23,6.9,30.5,-23,TRUE
"12",63,31,-23,16.8,31,-23,TRUE
"13",64,31.5,-23,20.5,31.5,-23,TRUE
"14",89,27.5,-23.5,20.8,27.5,-23.5,TRUE
"15",90,28,-23.5,14.8,28,-23.5,TRUE
"16",91,28.5,-23.5,12.7,28.5,-23.5,TRUE
"17",92,29,-23.5,19.7,29,-23.5,TRUE
"18",93,29.5,-23.5,25.5,29.5,-23.5,TRUE
"19",94,30,-23.5,20.9,30,-23.5,TRUE
"20",95,30.5,-23.5,13.5,30.5,-23.5,TRUE
"21",96,31,-23.5,11.6,31,-23.5,TRUE
"22",97,31.5,-23.5,19.8,31.5,-23.5,TRUE
"23",121,27,-24,33.8,27,-24,TRUE
"24",122,27.5,-24,23.2,27.5,-24,TRUE
"25",123,28,-24,23,28,-24,TRUE
"26",124,28.5,-24,17.6,28.5,-24,TRUE
"27",125,29,-24,26.3,29,-24,TRUE
"28",126,29.5,-24,29.8,29.5,-24,TRUE
"29",127,30,-24,25.3,30,-24,TRUE
"30",128,30.5,-24,25.7,30.5,-24,TRUE
"31",129,31,-24,13.5,31,-24,TRUE
"32",130,31.5,-24,14.7,31.5,-24,TRUE
"33",154,27,-24.5,44.8,27,-24.5,TRUE
"34",155,27.5,-24.5,33.3,27.5,-24.5,TRUE
"35",156,28,-24.5,30.8,28,-24.5,TRUE
"36",157,28.5,-24.5,24.2,28.5,-24.5,TRUE
"37",158,29,-24.5,26,29,-24.5,TRUE
"38",159,29.5,-24.5,24.2,29.5,-24.5,TRUE
"39",160,30,-24.5,25.5,30,-24.5,TRUE
"40",161,30.5,-24.5,19.8,30.5,-24.5,TRUE
"41",162,31,-24.5,24.7,31,-24.5,TRUE
"42",163,31.5,-24.5,17.8,31.5,-24.5,TRUE
"43",164,32,-24.5,20.1,32,-24.5,TRUE
"44",173,20,-25,8,20,-25,TRUE
"45",185,26,-25,90.7,26,-25,TRUE
"46",186,26.5,-25,56.4,26.5,-25,TRUE
"47",187,27,-25,62.9,27,-25,TRUE
"48",188,27.5,-25,43.3,27.5,-25,TRUE
"49",189,28,-25,44.7,28,-25,TRUE
"50",190,28.5,-25,40.3,28.5,-25,TRUE
"51",191,29,-25,28.4,29,-25,TRUE
"52",192,29.5,-25,25.9,29.5,-25,TRUE
"53",193,30,-25,30.3,30,-25,TRUE
"54",194,30.5,-25,29.5,30.5,-25,TRUE
"55",195,31,-25,20.2,31,-25,TRUE
"56",196,31.5,-25,17,31.5,-25,TRUE
"57",197,32,-25,25.5,32,-25,TRUE
"58",207,20.5,-25.5,12.3,20.5,-25.5,TRUE
"59",212,23,-25.5,28.7,23,-25.5,TRUE
"60",213,23.5,-25.5,26.4,23.5,-25.5,TRUE
"61",218,26,-25.5,93.6,26,-25.5,TRUE
"62",219,26.5,-25.5,96.1,26.5,-25.5,TRUE
"63",220,27,-25.5,83.6,27,-25.5,TRUE
"64",221,27.5,-25.5,81.8,27.5,-25.5,TRUE
"65",222,28,-25.5,75,28,-25.5,TRUE
"66",223,28.5,-25.5,101.3,28.5,-25.5,TRUE
"67",224,29,-25.5,70.2,29,-25.5,TRUE
"68",225,29.5,-25.5,41.8,29.5,-25.5,TRUE
"69",226,30,-25.5,36.8,30,-25.5,TRUE
"70",227,30.5,-25.5,46.6,30.5,-25.5,TRUE
"71",228,31,-25.5,49.4,31,-25.5,TRUE
"72",229,31.5,-25.5,20.6,31.5,-25.5,TRUE
"73",239,20,-26,5.9,20,-26,TRUE
"74",240,20.5,-26,10.3,20.5,-26,TRUE
"75",245,23,-26,28.3,23,-26,TRUE
"76",246,23.5,-26,27.3,23.5,-26,TRUE
"77",247,24,-26,27.8,24,-26,TRUE
"78",248,24.5,-26,47,24.5,-26,TRUE
"79",249,25,-26,63.9,25,-26,TRUE
"80",250,25.5,-26,73.9,25.5,-26,TRUE
"81",251,26,-26,82.2,26,-26,TRUE
"82",252,26.5,-26,113.8,26.5,-26,TRUE
"83",253,27,-26,85.9,27,-26,TRUE
"84",254,27.5,-26,68.7,27.5,-26,TRUE
"85",255,28,-26,76.6,28,-26,TRUE
"86",256,28.5,-26,126.6,28.5,-26,TRUE
"87",257,29,-26,88.8,29,-26,TRUE
"88",258,29.5,-26,72,29.5,-26,TRUE
"89",259,30,-26,81.1,30,-26,TRUE
"90",260,30.5,-26,101.6,30.5,-26,TRUE
"91",261,31,-26,94,31,-26,TRUE
"92",272,20,-26.5,6,20,-26.5,TRUE
"93",273,20.5,-26.5,10.7,20.5,-26.5,TRUE
"94",277,22.5,-26.5,30.2,22.5,-26.5,TRUE
"95",278,23,-26.5,31.9,23,-26.5,TRUE
"96",279,23.5,-26.5,26.3,23.5,-26.5,TRUE
"97",280,24,-26.5,33.1,24,-26.5,TRUE
"98",281,24.5,-26.5,66.5,24.5,-26.5,TRUE
"99",282,25,-26.5,85.7,25,-26.5,TRUE
"100",283,25.5,-26.5,52.6,25.5,-26.5,TRUE
"101",284,26,-26.5,62.7,26,-26.5,TRUE
"102",285,26.5,-26.5,96.4,26.5,-26.5,TRUE
"103",286,27,-26.5,102.9,27,-26.5,TRUE
"104",287,27.5,-26.5,91.9,27.5,-26.5,TRUE
"105",288,28,-26.5,85.2,28,-26.5,TRUE
"106",289,28.5,-26.5,115.1,28.5,-26.5,TRUE
"107",290,29,-26.5,99.2,29,-26.5,TRUE
"108",291,29.5,-26.5,80,29.5,-26.5,TRUE
"109",292,30,-26.5,125.9,30,-26.5,TRUE
"110",293,30.5,-26.5,142,30.5,-26.5,TRUE
"111",306,20.5,-27,20.2,20.5,-27,TRUE
"112",307,21,-27,11.7,21,-27,TRUE
"113",308,21.5,-27,15.4,21.5,-27,TRUE
"114",309,22,-27,23.9,22,-27,TRUE
"115",310,22.5,-27,35.4,22.5,-27,TRUE
"116",311,23,-27,50.8,23,-27,TRUE
"117",312,23.5,-27,27.8,23.5,-27,TRUE
"118",313,24,-27,38,24,-27,TRUE
"119",314,24.5,-27,72.9,24.5,-27,TRUE
"120",315,25,-27,59.8,25,-27,TRUE
"121",316,25.5,-27,37.4,25.5,-27,TRUE
"122",317,26,-27,56.4,26,-27,TRUE
"123",318,26.5,-27,95.4,26.5,-27,TRUE
"124",319,27,-27,116.7,27,-27,TRUE
"125",320,27.5,-27,95.9,27.5,-27,TRUE
"126",321,28,-27,99.7,28,-27,TRUE
"127",322,28.5,-27,103,28.5,-27,TRUE
"128",323,29,-27,90.5,29,-27,TRUE
"129",324,29.5,-27,84.9,29.5,-27,TRUE
"130",325,30,-27,156.5,30,-27,TRUE
"131",326,30.5,-27,174.3,30.5,-27,TRUE
"132",329,32,-27,86,32,-27,TRUE
"133",330,32.5,-27,88.2,32.5,-27,TRUE
"134",338,20,-27.5,24.7,20,-27.5,TRUE
"135",339,20.5,-27.5,25,20.5,-27.5,TRUE
"136",340,21,-27.5,19.5,21,-27.5,TRUE
"137",341,21.5,-27.5,18.6,21.5,-27.5,TRUE
"138",342,22,-27.5,28.4,22,-27.5,TRUE
"139",343,22.5,-27.5,41.9,22.5,-27.5,TRUE
"140",344,23,-27.5,60.9,23,-27.5,TRUE
"141",345,23.5,-27.5,47.6,23.5,-27.5,TRUE
"142",346,24,-27.5,51.5,24,-27.5,TRUE
"143",347,24.5,-27.5,81.5,24.5,-27.5,TRUE
"144",348,25,-27.5,25.6,25,-27.5,TRUE
"145",349,25.5,-27.5,16.9,25.5,-27.5,TRUE
"146",350,26,-27.5,61.3,26,-27.5,TRUE
"147",351,26.5,-27.5,90.3,26.5,-27.5,TRUE
"148",352,27,-27.5,110.4,27,-27.5,TRUE
"149",353,27.5,-27.5,91.6,27.5,-27.5,TRUE
"150",354,28,-27.5,73.5,28,-27.5,TRUE
"151",355,28.5,-27.5,67.5,28.5,-27.5,TRUE
"152",356,29,-27.5,78.5,29,-27.5,TRUE
"153",357,29.5,-27.5,87.3,29.5,-27.5,TRUE
"154",358,30,-27.5,91.7,30,-27.5,TRUE
"155",359,30.5,-27.5,132,30.5,-27.5,TRUE
"156",360,31,-27.5,133.8,31,-27.5,TRUE
"157",361,31.5,-27.5,73.3,31.5,-27.5,TRUE
"158",362,32,-27.5,109.1,32,-27.5,TRUE
"159",363,32.5,-27.5,83.1,32.5,-27.5,TRUE
"160",372,20.5,-28,34.1,20.5,-28,TRUE
"161",373,21,-28,22.4,21,-28,TRUE
"162",374,21.5,-28,19.7,21.5,-28,TRUE
"163",375,22,-28,28.1,22,-28,TRUE
"164",376,22.5,-28,40.6,22.5,-28,TRUE
"165",377,23,-28,53.6,23,-28,TRUE
"166",378,23.5,-28,62.5,23.5,-28,TRUE
"167",379,24,-28,78,24,-28,TRUE
"168",380,24.5,-28,58.3,24.5,-28,TRUE
"169",381,25,-28,31.6,25,-28,TRUE
"170",382,25.5,-28,58.1,25.5,-28,TRUE
"171",383,26,-28,74.3,26,-28,TRUE
"172",384,26.5,-28,72.2,26.5,-28,TRUE
"173",385,27,-28,95.1,27,-28,TRUE
"174",386,27.5,-28,84.4,27.5,-28,TRUE
"175",387,28,-28,74,28,-28,TRUE
"176",388,28.5,-28,74,28.5,-28,TRUE
"177",389,29,-28,91.8,29,-28,TRUE
"178",390,29.5,-28,102.5,29.5,-28,TRUE
"179",391,30,-28,114.4,30,-28,TRUE
"180",392,30.5,-28,149.2,30.5,-28,TRUE
"181",393,31,-28,107.2,31,-28,TRUE
"182",394,31.5,-28,68.6,31.5,-28,TRUE
"183",395,32,-28,68.4,32,-28,TRUE
"184",396,32.5,-28,68,32.5,-28,TRUE
"185",398,17,-28.5,0.1,17,-28.5,TRUE
"186",404,20,-28.5,17.4,20,-28.5,TRUE
"187",405,20.5,-28.5,23.9,20.5,-28.5,TRUE
"188",406,21,-28.5,19.5,21,-28.5,TRUE
"189",407,21.5,-28.5,14,21.5,-28.5,TRUE
"190",408,22,-28.5,7.8,22,-28.5,TRUE
"191",409,22.5,-28.5,20.5,22.5,-28.5,TRUE
"192",410,23,-28.5,29.8,23,-28.5,TRUE
"193",411,23.5,-28.5,20.8,23.5,-28.5,TRUE
"194",412,24,-28.5,28.7,24,-28.5,TRUE
"195",413,24.5,-28.5,23.6,24.5,-28.5,TRUE
"196",414,25,-28.5,14.3,25,-28.5,TRUE
"197",415,25.5,-28.5,63.8,25.5,-28.5,TRUE
"198",416,26,-28.5,65.1,26,-28.5,TRUE
"199",417,26.5,-28.5,51,26.5,-28.5,TRUE
"200",418,27,-28.5,73.1,27,-28.5,TRUE
"201",419,27.5,-28.5,98.3,27.5,-28.5,TRUE
"202",420,28,-28.5,99.4,28,-28.5,TRUE
"203",421,28.5,-28.5,102.4,28.5,-28.5,TRUE
"204",422,29,-28.5,145.3,29,-28.5,TRUE
"205",423,29.5,-28.5,107.4,29.5,-28.5,TRUE
"206",424,30,-28.5,114.8,30,-28.5,TRUE
"207",425,30.5,-28.5,143.4,30.5,-28.5,TRUE
"208",426,31,-28.5,107.5,31,-28.5,TRUE
"209",427,31.5,-28.5,65.1,31.5,-28.5,TRUE
"210",428,32,-28.5,52.1,32,-28.5,TRUE
"211",431,17,-29,0,17,-29,TRUE
"212",432,17.5,-29,0.2,17.5,-29,TRUE
"213",433,18,-29,0,18,-29,TRUE
"214",434,18.5,-29,0.2,18.5,-29,TRUE
"215",435,19,-29,2,19,-29,TRUE
"216",436,19.5,-29,4.3,19.5,-29,TRUE
"217",437,20,-29,14.7,20,-29,TRUE
"218",438,20.5,-29,23.6,20.5,-29,TRUE
"219",439,21,-29,15.1,21,-29,TRUE
"220",440,21.5,-29,7.4,21.5,-29,TRUE
"221",441,22,-29,13.4,22,-29,TRUE
"222",442,22.5,-29,18.7,22.5,-29,TRUE
"223",443,23,-29,22.6,23,-29,TRUE
"224",444,23.5,-29,18.5,23.5,-29,TRUE
"225",445,24,-29,10.2,24,-29,TRUE
"226",446,24.5,-29,13.2,24.5,-29,TRUE
"227",447,25,-29,16.6,25,-29,TRUE
"228",448,25.5,-29,31.3,25.5,-29,TRUE
"229",449,26,-29,34.6,26,-29,TRUE
"230",450,26.5,-29,60.4,26.5,-29,TRUE
"231",451,27,-29,79.3,27,-29,TRUE
"232",452,27.5,-29,99.5,27.5,-29,TRUE
"233",456,29.5,-29,107.8,29.5,-29,TRUE
"234",457,30,-29,106.9,30,-29,TRUE
"235",458,30.5,-29,153.9,30.5,-29,TRUE
"236",459,31,-29,107.3,31,-29,TRUE
"237",460,31.5,-29,62.3,31.5,-29,TRUE
"238",465,17.5,-29.5,0,17.5,-29.5,TRUE
"239",466,18,-29.5,0.1,18,-29.5,TRUE
"240",467,18.5,-29.5,1,18.5,-29.5,TRUE
"241",468,19,-29.5,3.2,19,-29.5,TRUE
"242",469,19.5,-29.5,6.3,19.5,-29.5,TRUE
"243",470,20,-29.5,10.5,20,-29.5,TRUE
"244",471,20.5,-29.5,23.8,20.5,-29.5,TRUE
"245",472,21,-29.5,16.6,21,-29.5,TRUE
"246",473,21.5,-29.5,10.6,21.5,-29.5,TRUE
"247",474,22,-29.5,11.7,22,-29.5,TRUE
"248",475,22.5,-29.5,18.5,22.5,-29.5,TRUE
"249",476,23,-29.5,24.7,23,-29.5,TRUE
"250",477,23.5,-29.5,12.4,23.5,-29.5,TRUE
"251",478,24,-29.5,3.3,24,-29.5,TRUE
"252",479,24.5,-29.5,9,24.5,-29.5,TRUE
"253",480,25,-29.5,8,25,-29.5,TRUE
"254",481,25.5,-29.5,9.6,25.5,-29.5,TRUE
"255",482,26,-29.5,14.8,26,-29.5,TRUE
"256",483,26.5,-29.5,19.5,26.5,-29.5,TRUE
