id_station,lon,lat
station_1,29,-8.5
station_2,29.5,-8.5
station_3,30,-8.5
station_4,30.5,-8.5
station_5,29,-9
station_6,29.5,-9
station_7,30,-9
station_8,30.5,-9
station_9,31,-9
station_10,31.5,-9
station_11,29,-9.5
station_12,29.5,-9.5
station_13,30,-9.5
station_14,30.5,-9.5
station_15,31,-9.5
station_16,31.5,-9.5
station_17,32,-9.5
station_18,32.5,-9.5
station_19,33,-9.5
station_20,29,-10
station_21,29.5,-10
station_22,30,-10
station_23,30.5,-10
station_24,31,-10
station_25,31.5,-10
station_26,32,-10
station_27,32.5,-10
station_28,33,-10
station_29,29,-10.5
station_30,29.5,-10.5
station_31,30,-10.5
station_32,30.5,-10.5
station_33,31,-10.5
station_34,31.5,-10.5
station_35,32,-10.5
station_36,32.5,-10.5
station_37,33,-10.5
station_38,33.5,-10.5
station_39,29,-11
station_40,29.5,-11
station_41,30,-11
station_42,30.5,-11
station_43,31,-11
station_44,31.5,-11
station_45,32,-11
station_46,32.5,-11
station_47,33,-11
station_48,24.5,-11.5
station_49,25,-11.5
station_50,28.5,-11.5
station_51,29,-11.5
station_52,29.5,-11.5
station_53,30,-11.5
station_54,30.5,-11.5
station_55,31,-11.5
station_56,31.5,-11.5
station_57,32,-11.5
station_58,32.5,-11.5
station_59,33,-11.5
station_60,24,-12
station_61,24.5,-12
station_62,25,-12
station_63,25.5,-12
station_64,26,-12
station_65,26.5,-12
station_66,27,-12
station_67,29,-12
station_68,29.5,-12
station_69,30,-12
station_70,30.5,-12
station_71,31,-12
station_72,31.5,-12
station_73,32,-12
station_74,32.5,-12
station_75,33,-12
station_76,24,-12.5
station_77,24.5,-12.5
station_78,25,-12.5
station_79,25.5,-12.5
station_80,26,-12.5
station_81,26.5,-12.5
station_82,27,-12.5
station_83,27.5,-12.5
station_84,28,-12.5
station_85,30,-12.5
station_86,30.5,-12.5
station_87,31,-12.5
station_88,31.5,-12.5
station_89,32,-12.5
station_90,32.5,-12.5
station_91,33,-12.5
station_92,23,-13
station_93,23.5,-13
station_94,24,-13
station_95,24.5,-13
station_96,25,-13
station_97,25.5,-13
station_98,26,-13
station_99,26.5,-13
station_100,27,-13
station_101,27.5,-13
station_102,28,-13
station_103,28.5,-13
station_104,30,-13
station_105,30.5,-13
station_106,31,-13
station_107,31.5,-13
station_108,32,-13
station_109,32.5,-13
station_110,33,-13
station_111,22.5,-13.5
station_112,23,-13.5
station_113,23.5,-13.5
station_114,24,-13.5
station_115,24.5,-13.5
station_116,25,-13.5
station_117,25.5,-13.5
station_118,26,-13.5
station_119,26.5,-13.5
station_120,27,-13.5
station_121,27.5,-13.5
station_122,28,-13.5
station_123,28.5,-13.5
station_124,29,-13.5
station_125,29.5,-13.5
station_126,30,-13.5
station_127,30.5,-13.5
station_128,31,-13.5
station_129,31.5,-13.5
station_130,32,-13.5
station_131,32.5,-13.5
station_132,22.5,-14
station_133,23,-14
station_134,23.5,-14
station_135,24,-14
station_136,24.5,-14
station_137,25,-14
station_138,25.5,-14
station_139,26,-14
station_140,26.5,-14
station_141,27,-14
station_142,27.5,-14
station_143,28,-14
station_144,28.5,-14
station_145,29,-14
station_146,29.5,-14
station_147,30,-14
station_148,30.5,-14
station_149,31,-14
station_150,31.5,-14
station_151,32,-14
station_152,32.5,-14
station_153,22.5,-14.5
station_154,23,-14.5
station_155,23.5,-14.5
station_156,24,-14.5
station_157,24.5,-14.5
station_158,25,-14.5
station_159,25.5,-14.5
station_160,26,-14.5
station_161,26.5,-14.5
station_162,27,-14.5
station_163,27.5,-14.5
station_164,28,-14.5
station_165,28.5,-14.5
station_166,29,-14.5
station_167,29.5,-14.5
station_168,30,-14.5
station_169,30.5,-14.5
station_170,31,-14.5
station_171,31.5,-14.5
station_172,22,-15
station_173,22.5,-15
station_174,23,-15
station_175,23.5,-15
station_176,24,-15
station_177,24.5,-15
station_178,25,-15
station_179,25.5,-15
station_180,26,-15
station_181,26.5,-15
station_182,27,-15
station_183,27.5,-15
station_184,28,-15
station_185,28.5,-15
station_186,29,-15
station_187,29.5,-15
station_188,30,-15
station_189,22.5,-15.5
station_190,23,-15.5
station_191,23.5,-15.5
station_192,24,-15.5
station_193,24.5,-15.5
station_194,25,-15.5
station_195,25.5,-15.5
station_196,26,-15.5
station_197,26.5,-15.5
station_198,27,-15.5
station_199,27.5,-15.5
station_200,28,-15.5
station_201,28.5,-15.5
station_202,29,-15.5
station_203,29.5,-15.5
station_204,30,-15.5
station_205,22.5,-16
station_206,23,-16
station_207,23.5,-16
station_208,24,-16
station_209,24.5,-16
station_210,25,-16
station_211,25.5,-16
station_212,26,-16
station_213,26.5,-16
station_214,27,-16
station_215,27.5,-16
station_216,28,-16
station_217,28.5,-16
station_218,22.5,-16.5
station_219,23,-16.5
station_220,23.5,-16.5
station_221,24,-16.5
station_222,24.5,-16.5
station_223,25,-16.5
station_224,25.5,-16.5
station_225,26,-16.5
station_226,26.5,-16.5
station_227,27,-16.5
station_228,27.5,-16.5
station_229,28,-16.5
station_230,28.5,-16.5
station_231,23,-17
station_232,23.5,-17
station_233,24,-17
station_234,24.5,-17
station_235,25,-17
station_236,25.5,-17
station_237,26,-17
station_238,26.5,-17
station_239,27,-17
station_240,27.5,-17
station_241,23.5,-17.5
station_242,24,-17.5
station_243,24.5,-17.5
station_244,25,-17.5
station_245,25.5,-17.5
station_246,26,-17.5
station_247,26.5,-17.5
station_248,27,-17.5
