id_station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
station_1,1970,371.2,226,517.3,124.5,8.1,0.692476876,0.467391516,0.50086082,6.9,90.8,251.2,199.5
station_1,1971,112.5,143.8,59.3,113.5,10.7,0.4,0.34153674,0.327416506,1.4,81.2,85.5,224.9
station_1,1972,153.9,36.5,170.5,97.5,21.7,12.4,0.182673078,0.519617293,1.2,17.7,95.9,168.1
station_1,1973,236,139.7,86.6,60,13.6,0.860818305,0.616078881,0.432115549,4.8,13.9,119,214.7
station_1,1974,225.7,175.1,350.1,159.8,92.2,0.130226563,0.502526736,0.688179963,0.229441385,96.5,150.4,114.5
station_1,1975,83.7,215.2,178.1,147,9.1,0.999539422,0.207129078,0.156201927,6,7.8,57.2,179.2
station_1,1976,189.7,214.3,59.4,160.3,6.7,0.737384047,0.848114499,0.52063919,0.8,80.5,95.4,242.4
station_1,1977,306.5,130.5,179.5,155.8,67,0.910658892,0.989610084,0.715245157,11.3,22.5,217,337.1
station_1,1978,178.7,228.5,147.6,157.9,0.467199791,0.278398398,0.612732456,0.23128043,35.9,37.7,185.1,246.5
station_1,1979,334.2,190,305,166.5,66.1,0.1,0.87398102,0.156844513,1.2,56.7,336,294.6
station_1,1980,184.5,139.1,143.3,84.3,4.5,0.407438424,0.957450718,0.332315469,28.4,87.1,162.9,192.3
station_1,1981,62.9,129.3,434.1,28.2,28.5,0.009211236,0.693738993,0.822678501,6.1,66.6,87.7,279.9
station_1,1982,218.1,138.8,165.9,153,13.4,0.392757562,0.389400408,0.099371525,11.8,39.1,237.1,222.4
station_1,1983,167.4,159.9,159.1,75.3,3.8,0.726531087,0.341950755,0.057085625,13,113.9,172.5,156.3
station_1,1984,286.2,224.1,109.6,130.2,8.4,0.042373545,0.744742792,0.547776927,30.1,106,167.5,262.3
station_1,1985,183.6,164.5,218.8,140.9,16.9,0.061080146,0.252820011,0.90580485,21.1,88.4,160.9,195.3
station_1,1986,193.8,118.1,243.8,74.9,5.8,0.96836362,0.659764746,0.538983582,43,69.8,154.3,171.8
station_1,1987,182.5,190.8,144,140.2,35.1,0.867293212,0.208527322,0.088361089,19.3,110.4,173,271.8
station_1,1988,195.7,158,192.5,129.9,15.8,0.291869897,0.634803516,0.708431963,11,76.3,186.8,118.5
station_1,1989,83.3,120.9,11.2,161,3.1,0.943667448,0.053012635,0.215528155,0.74240633,124.3,132.8,237.9
station_1,1990,64.8,158.5,194.7,41.7,14.5,0.536841811,0.670427252,0.986992691,9.1,45,93.7,209.1
station_1,1991,107.7,145.8,220.4,19.6,25.3,0.398592002,0.117864864,0.237106625,0.4,26.5,122.9,108.4
station_1,1992,119.4,58.2,136,49.5,13.2,0.570700472,0.13403915,0.607781326,1.1,84.9,189.1,77.5
station_1,1993,201.6,124.5,188.1,99.8,19.3,0.2,0.664498091,0.524849213,12.4,34.9,155.6,145.4
station_1,1994,172.5,127.2,198.8,70.1,3.7,0.191763301,0.102104935,0.348029066,2.7,90.3,84.8,184.8
station_1,1995,38.8,161.3,172.3,64.6,1.4,0.2,0.931110872,0.408894749,7.1,104.1,103.6,144.2
station_1,1996,195.3,114.5,142.8,82.5,1.7,0.65298397,0.115453405,0.915588182,2.8,9.4,23.6,146.1
station_1,1997,171.2,109.4,263.8,103.1,5.6,0.1,0.410444005,0.292364549,15.3,84.6,143,322.1
station_1,1998,232.3,142.5,149.3,140.3,4.9,0.067700482,0.204794351,0.643110409,24.7,35,124.7,121.2
station_1,1999,109.1,58,257.5,75.3,0.637247186,0.2,0.120272609,0.470854205,12.8,42,139.2,155.5
station_1,2000,143,147.3,191.7,19.6,4.6,0.636834076,0.619381285,0.551401116,0.8,30.5,170.5,160.7
station_1,2001,306.1,190.1,269.2,50.8,5.9,1.3,0.786913197,0.542925468,62.1,69.6,79.7,116.6
station_1,2002,263.1,74.7,259,129.3,0.5,0.543130569,0.559870361,0.718621008,4.1,28,162.1,225.5
station_1,2003,293,106.6,248,200.8,13.7,0.083151233,0.889193729,0.858271684,3.7,76.7,108.7,203.2
station_1,2004,151.9,134.2,146.2,115.1,0.1,0.1,0.948206274,0.388644713,13.4,24.9,146.3,300.2
station_1,2005,299.8,87,131.7,24.7,11.5,0.4,0.506208992,0.665241978,0.738567852,9.3,136.7,277.3
station_1,2006,126.8,157.3,173.2,110.7,64.5,0.231740936,0.202806344,0.252223667,21.7,55.9,293.7,224.4
station_1,2007,182.9,68,179.4,68.9,8.3,1.4,0.888208791,0.870190215,47.8,49.5,135.6,297.6
station_1,2008,301.2,212.5,205.9,48.6,1.7,1,0.224796053,0.590727669,1.7,59.7,162.5,185.8
station_1,2009,113.8,211,266.1,107.6,27.1,1.4,0.803423713,0.472413312,0.8,52,218.9,257
station_1,2010,140.1,108.9,256.5,46.7,16.7,0.5,0.140516682,0.396233783,6.6,24.3,133.9,206.8
station_1,2011,130.8,199.7,249.5,53.7,14.5,6.4,0.503339024,0.540634668,42.8,68.9,202.5,245.1
