"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"1",15,29,-8.5,371.2,29,-8.5,TRUE
"2",16,29.5,-8.5,307,29.5,-8.5,TRUE
"3",17,30,-8.5,285.1,30,-8.5,TRUE
"4",18,30.5,-8.5,268.2,30.5,-8.5,TRUE
"5",39,29,-9,286,29,-9,TRUE
"6",40,29.5,-9,308.5,29.5,-9,TRUE
"7",41,30,-9,295.7,30,-9,TRUE
"8",42,30.5,-9,297.9,30.5,-9,TRUE
"9",43,31,-9,289.6,31,-9,TRUE
"10",44,31.5,-9,254.5,31.5,-9,TRUE
"11",63,29,-9.5,257.7,29,-9.5,TRUE
"12",64,29.5,-9.5,300.2,29.5,-9.5,TRUE
"13",65,30,-9.5,304.9,30,-9.5,TRUE
"14",66,30.5,-9.5,307,30.5,-9.5,TRUE
"15",67,31,-9.5,282.8,31,-9.5,TRUE
"16",68,31.5,-9.5,234.6,31.5,-9.5,TRUE
"17",69,32,-9.5,292.6,32,-9.5,TRUE
"18",70,32.5,-9.5,274.2,32.5,-9.5,TRUE
"19",71,33,-9.5,267.6,33,-9.5,TRUE
"20",87,29,-10,229.9,29,-10,TRUE
"21",88,29.5,-10,327,29.5,-10,TRUE
"22",89,30,-10,339.1,30,-10,TRUE
"23",90,30.5,-10,312.4,30.5,-10,TRUE
"24",91,31,-10,336.3,31,-10,TRUE
"25",92,31.5,-10,371,31.5,-10,TRUE
"26",93,32,-10,386.3,32,-10,TRUE
"27",94,32.5,-10,359.3,32.5,-10,TRUE
"28",95,33,-10,308.1,33,-10,TRUE
"29",111,29,-10.5,250.2,29,-10.5,TRUE
"30",112,29.5,-10.5,317.3,29.5,-10.5,TRUE
"31",113,30,-10.5,357.5,30,-10.5,TRUE
"32",114,30.5,-10.5,339.6,30.5,-10.5,TRUE
"33",115,31,-10.5,364.7,31,-10.5,TRUE
"34",116,31.5,-10.5,373.5,31.5,-10.5,TRUE
"35",117,32,-10.5,328.5,32,-10.5,TRUE
"36",118,32.5,-10.5,297.1,32.5,-10.5,TRUE
"37",119,33,-10.5,270.1,33,-10.5,TRUE
"38",120,33.5,-10.5,299.2,33.5,-10.5,TRUE
"39",135,29,-11,268.4,29,-11,TRUE
"40",136,29.5,-11,259.2,29.5,-11,TRUE
"41",137,30,-11,301,30,-11,TRUE
"42",138,30.5,-11,357.3,30.5,-11,TRUE
"43",139,31,-11,358.8,31,-11,TRUE
"44",140,31.5,-11,356.9,31.5,-11,TRUE
"45",141,32,-11,351,32,-11,TRUE
"46",142,32.5,-11,257.8,32.5,-11,TRUE
"47",143,33,-11,229.8,33,-11,TRUE
"48",150,24.5,-11.5,264.3,24.5,-11.5,TRUE
"49",151,25,-11.5,254.6,25,-11.5,TRUE
"50",158,28.5,-11.5,278.1,28.5,-11.5,TRUE
"51",159,29,-11.5,297.4,29,-11.5,TRUE
"52",160,29.5,-11.5,273.5,29.5,-11.5,TRUE
"53",161,30,-11.5,245.5,30,-11.5,TRUE
"54",162,30.5,-11.5,302.9,30.5,-11.5,TRUE
"55",163,31,-11.5,311.9,31,-11.5,TRUE
"56",164,31.5,-11.5,306.9,31.5,-11.5,TRUE
"57",165,32,-11.5,296.1,32,-11.5,TRUE
"58",166,32.5,-11.5,273,32.5,-11.5,TRUE
"59",167,33,-11.5,221.5,33,-11.5,TRUE
"60",173,24,-12,270.4,24,-12,TRUE
"61",174,24.5,-12,291.5,24.5,-12,TRUE
"62",175,25,-12,253.7,25,-12,TRUE
"63",176,25.5,-12,258.4,25.5,-12,TRUE
"64",177,26,-12,289.5,26,-12,TRUE
"65",178,26.5,-12,326,26.5,-12,TRUE
"66",179,27,-12,314.3,27,-12,TRUE
"67",183,29,-12,327.8,29,-12,TRUE
"68",184,29.5,-12,288,29.5,-12,TRUE
"69",185,30,-12,206.7,30,-12,TRUE
"70",186,30.5,-12,245.6,30.5,-12,TRUE
"71",187,31,-12,251.3,31,-12,TRUE
"72",188,31.5,-12,264,31.5,-12,TRUE
"73",189,32,-12,281.7,32,-12,TRUE
"74",190,32.5,-12,253.6,32.5,-12,TRUE
"75",191,33,-12,224.6,33,-12,TRUE
"76",197,24,-12.5,244,24,-12.5,TRUE
"77",198,24.5,-12.5,252.3,24.5,-12.5,TRUE
"78",199,25,-12.5,260.4,25,-12.5,TRUE
"79",200,25.5,-12.5,243.7,25.5,-12.5,TRUE
"80",201,26,-12.5,273.2,26,-12.5,TRUE
"81",202,26.5,-12.5,299.9,26.5,-12.5,TRUE
"82",203,27,-12.5,279.3,27,-12.5,TRUE
"83",204,27.5,-12.5,252.6,27.5,-12.5,TRUE
"84",205,28,-12.5,241.7,28,-12.5,TRUE
"85",209,30,-12.5,207.6,30,-12.5,TRUE
"86",210,30.5,-12.5,188.4,30.5,-12.5,TRUE
"87",211,31,-12.5,208.6,31,-12.5,TRUE
"88",212,31.5,-12.5,254.3,31.5,-12.5,TRUE
"89",213,32,-12.5,271.5,32,-12.5,TRUE
"90",214,32.5,-12.5,266.5,32.5,-12.5,TRUE
"91",215,33,-12.5,233.9,33,-12.5,TRUE
"92",219,23,-13,160.2,23,-13,TRUE
"93",220,23.5,-13,204.2,23.5,-13,TRUE
"94",221,24,-13,209.4,24,-13,TRUE
"95",222,24.5,-13,211.7,24.5,-13,TRUE
"96",223,25,-13,226.4,25,-13,TRUE
"97",224,25.5,-13,244.2,25.5,-13,TRUE
"98",225,26,-13,253.7,26,-13,TRUE
"99",226,26.5,-13,259.6,26.5,-13,TRUE
"100",227,27,-13,242,27,-13,TRUE
"101",228,27.5,-13,229.9,27.5,-13,TRUE
"102",229,28,-13,222.3,28,-13,TRUE
"103",230,28.5,-13,330.7,28.5,-13,TRUE
"104",233,30,-13,201.4,30,-13,TRUE
"105",234,30.5,-13,137.8,30.5,-13,TRUE
"106",235,31,-13,191.3,31,-13,TRUE
"107",236,31.5,-13,237.1,31.5,-13,TRUE
"108",237,32,-13,255.1,32,-13,TRUE
"109",238,32.5,-13,275.5,32.5,-13,TRUE
"110",239,33,-13,250.9,33,-13,TRUE
"111",242,22.5,-13.5,166,22.5,-13.5,TRUE
"112",243,23,-13.5,149.5,23,-13.5,TRUE
"113",244,23.5,-13.5,179.5,23.5,-13.5,TRUE
"114",245,24,-13.5,182.7,24,-13.5,TRUE
"115",246,24.5,-13.5,184.9,24.5,-13.5,TRUE
"116",247,25,-13.5,200.8,25,-13.5,TRUE
"117",248,25.5,-13.5,218.6,25.5,-13.5,TRUE
"118",249,26,-13.5,235.7,26,-13.5,TRUE
