"id_station","lon","lat"
"station_1",29,-16
"station_2",29.5,-16
"station_3",30,-16
"station_4",30.5,-16
"station_5",29,-16.5
"station_6",29.5,-16.5
"station_7",30,-16.5
"station_8",30.5,-16.5
"station_9",31,-16.5
"station_10",31.5,-16.5
"station_11",32,-16.5
"station_12",28,-17
"station_13",28.5,-17
"station_14",29,-17
"station_15",29.5,-17
"station_16",30,-17
"station_17",30.5,-17
"station_18",31,-17
"station_19",31.5,-17
"station_20",32,-17
"station_21",32.5,-17
"station_22",27.5,-17.5
"station_23",28,-17.5
"station_24",28.5,-17.5
"station_25",29,-17.5
"station_26",29.5,-17.5
"station_27",30,-17.5
"station_28",30.5,-17.5
"station_29",31,-17.5
"station_30",31.5,-17.5
"station_31",32,-17.5
"station_32",32.5,-17.5
"station_33",25.5,-18
"station_34",26,-18
"station_35",26.5,-18
"station_36",27,-18
"station_37",27.5,-18
"station_38",28,-18
"station_39",28.5,-18
"station_40",29,-18
"station_41",29.5,-18
"station_42",30,-18
"station_43",30.5,-18
"station_44",31,-18
"station_45",31.5,-18
"station_46",32,-18
"station_47",32.5,-18
"station_48",26,-18.5
"station_49",26.5,-18.5
"station_50",27,-18.5
"station_51",27.5,-18.5
"station_52",28,-18.5
"station_53",28.5,-18.5
"station_54",29,-18.5
"station_55",29.5,-18.5
"station_56",30,-18.5
"station_57",30.5,-18.5
"station_58",31,-18.5
"station_59",31.5,-18.5
"station_60",32,-18.5
"station_61",32.5,-18.5
"station_62",26,-19
"station_63",26.5,-19
"station_64",27,-19
"station_65",27.5,-19
"station_66",28,-19
"station_67",28.5,-19
"station_68",29,-19
"station_69",29.5,-19
"station_70",30,-19
"station_71",30.5,-19
"station_72",31,-19
"station_73",31.5,-19
"station_74",32,-19
"station_75",32.5,-19
"station_76",26.5,-19.5
"station_77",27,-19.5
"station_78",27.5,-19.5
"station_79",28,-19.5
"station_80",28.5,-19.5
"station_81",29,-19.5
"station_82",29.5,-19.5
"station_83",30,-19.5
"station_84",30.5,-19.5
"station_85",31,-19.5
"station_86",31.5,-19.5
"station_87",32,-19.5
"station_88",32.5,-19.5
"station_89",27,-20
"station_90",27.5,-20
"station_91",28,-20
"station_92",28.5,-20
"station_93",29,-20
"station_94",29.5,-20
"station_95",30,-20
"station_96",30.5,-20
"station_97",31,-20
"station_98",31.5,-20
"station_99",32,-20
"station_100",32.5,-20
"station_101",33,-20
"station_102",28,-20.5
"station_103",28.5,-20.5
"station_104",29,-20.5
"station_105",29.5,-20.5
"station_106",30,-20.5
"station_107",30.5,-20.5
"station_108",31,-20.5
"station_109",31.5,-20.5
"station_110",32,-20.5
"station_111",32.5,-20.5
"station_112",28,-21
"station_113",28.5,-21
"station_114",29,-21
"station_115",29.5,-21
"station_116",30,-21
"station_117",30.5,-21
"station_118",31,-21
"station_119",31.5,-21
"station_120",32,-21
"station_121",28,-21.5
"station_122",28.5,-21.5
"station_123",29,-21.5
"station_124",29.5,-21.5
"station_125",30,-21.5
"station_126",30.5,-21.5
"station_127",31,-21.5
"station_128",31.5,-21.5
"station_129",32,-21.5
"station_130",29.5,-22
"station_131",30,-22
"station_132",30.5,-22
"station_133",31,-22
"station_134",31.5,-22
