"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"1",8,29,-16,89.8,29,-16,TRUE
"2",9,29.5,-16,84.9,29.5,-16,TRUE
"3",10,30,-16,77.6,30,-16,TRUE
"4",11,30.5,-16,55.9,30.5,-16,TRUE
"5",24,29,-16.5,86,29,-16.5,TRUE
"6",25,29.5,-16.5,91.4,29.5,-16.5,TRUE
"7",26,30,-16.5,91.9,30,-16.5,TRUE
"8",27,30.5,-16.5,83.6,30.5,-16.5,TRUE
"9",28,31,-16.5,109.3,31,-16.5,TRUE
"10",29,31.5,-16.5,153.1,31.5,-16.5,TRUE
"11",30,32,-16.5,110.2,32,-16.5,TRUE
"12",38,28,-17,105.1,28,-17,TRUE
"13",39,28.5,-17,83.8,28.5,-17,TRUE
"14",40,29,-17,62.6,29,-17,TRUE
"15",41,29.5,-17,63.7,29.5,-17,TRUE
"16",42,30,-17,84.2,30,-17,TRUE
"17",43,30.5,-17,107.1,30.5,-17,TRUE
"18",44,31,-17,124.7,31,-17,TRUE
"19",45,31.5,-17,165.7,31.5,-17,TRUE
"20",46,32,-17,75.3,32,-17,TRUE
"21",47,32.5,-17,85.2,32.5,-17,TRUE
"22",53,27.5,-17.5,82.9,27.5,-17.5,TRUE
"23",54,28,-17.5,72.7,28,-17.5,TRUE
"24",55,28.5,-17.5,55.7,28.5,-17.5,TRUE
"25",56,29,-17.5,37.3,29,-17.5,TRUE
"26",57,29.5,-17.5,39.2,29.5,-17.5,TRUE
"27",58,30,-17.5,60.1,30,-17.5,TRUE
"28",59,30.5,-17.5,96.5,30.5,-17.5,TRUE
"29",60,31,-17.5,91.4,31,-17.5,TRUE
"30",61,31.5,-17.5,129.4,31.5,-17.5,TRUE
"31",62,32,-17.5,87.3,32,-17.5,TRUE
"32",63,32.5,-17.5,79.9,32.5,-17.5,TRUE
"33",65,25.5,-18,52.1,25.5,-18,TRUE
"34",66,26,-18,39.8,26,-18,TRUE
"35",67,26.5,-18,41,26.5,-18,TRUE
"36",68,27,-18,34.6,27,-18,TRUE
"37",69,27.5,-18,72.2,27.5,-18,TRUE
"38",70,28,-18,63.1,28,-18,TRUE
"39",71,28.5,-18,42.8,28.5,-18,TRUE
"40",72,29,-18,25,29,-18,TRUE
"41",73,29.5,-18,45.4,29.5,-18,TRUE
"42",74,30,-18,33.8,30,-18,TRUE
"43",75,30.5,-18,60.8,30.5,-18,TRUE
"44",76,31,-18,91.9,31,-18,TRUE
"45",77,31.5,-18,98.2,31.5,-18,TRUE
"46",78,32,-18,65.7,32,-18,TRUE
"47",79,32.5,-18,108.6,32.5,-18,TRUE
"48",82,26,-18.5,41,26,-18.5,TRUE
"49",83,26.5,-18.5,49.3,26.5,-18.5,TRUE
"50",84,27,-18.5,58.5,27,-18.5,TRUE
"51",85,27.5,-18.5,58.8,27.5,-18.5,TRUE
"52",86,28,-18.5,53.1,28,-18.5,TRUE
"53",87,28.5,-18.5,43.2,28.5,-18.5,TRUE
"54",88,29,-18.5,43.5,29,-18.5,TRUE
"55",89,29.5,-18.5,63.2,29.5,-18.5,TRUE
"56",90,30,-18.5,52.7,30,-18.5,TRUE
